日付,概要,表示数,いいね数,返信数,再投稿数,引用投稿数,シェア数,ポストURL,投稿本文
2026/02/07,育休復帰不要になった,9250,17,0,0,0,0,https://www.threads.com/@pro_syufu_takada/post/DUcyn18CeiC,"あー育休復帰したくないなーーーーって思いながら家でコツコツ内職頑張ってたら、ほんとに復帰しなくてよくなった笑笑 4月からも娘と一緒にお家で過ごせます💖嬉しい💖"
2026/02/07,在宅ワーク時間配分（1日3h×月20万）,10098,19,0,0,0,1,https://www.threads.com/@pro_syufu_takada/post/DUczaXAieep,"最近、スマホいじってると娘めっちゃ怒るようになって可愛いんだけど仕事が進まなくて🤣🤣 だから新たな試みとして、娘が起きる前の1時間と、お昼寝中の1時間、寝た後の1時間、1日3時間だけ作業して、週に2〜3日休んで月20万くらいキープできてるから、このやり方が私には合ってる気がする☺️🎶"
2026/02/07,夫「なんでもいい」あるある,15986,304,12,0,0,0,https://www.threads.com/@pro_syufu_takada/post/DUdKWZxiQmE,"きょうのできごと。私「何食べたい？」夫「ん〜、なんでもいいよ」〜数時間後（ハンバーグこねて焼いて出す）〜 夫「あ〜、今日はさっぱりしたものが良かったな〜」……😇🔪 「なんでもいい」は「俺の気分を察して正解を出せ」の略語ですか？？ 次言ったら、白米と塩だけ出してやろかな笑笑"
2026/02/08,ママvsパパの体調あるある,19915,40,3,1,0,0,https://www.threads.com/@pro_syufu_takada/post/DUfzrlmiWxN,"ママが熱出した時（38.5℃）：解熱剤で無理やり下げて、ご飯作って、お風呂入れて、寝かしつけまで完遂💪 パパが熱出した時（37.0℃）：「あ〜ダメだ……死ぬ……動けない……」で、一日中部屋にこもってYouTube三昧🛌 ねぇ、同じ人間ですか？？"
2026/02/09,孫の顔あるある（実母vs義母）,28155,68,44,0,0,0,https://www.threads.com/@pro_syufu_takada/post/DUiWQ9vCbsh,"孫を見た時の反応（妻目線）実母「ママにそっくりだね～」義母「パパにそっくりだね〜」これってどこの家庭も同じですか？😂😂 あと、男の子はママ似、女の子はパパ似ってのも、、！"
2026/02/11,★嬉しい報告（脱サラ決意）,365937,2843,76,3,0,0,https://www.threads.com/@pro_syufu_takada/post/DUk_RlBiauS,"嬉しい報告させてください❗️❗️ ど〜〜〜しても育休後に仕事復帰したくなくて、育児しながらフクギョウをたくさん頑張ってたんですが、、、この2～3ヶ月、夫と同じくらいの月収が安定してきたので、思い切って仕事を辞めることにしました❗️❗️ マタハラ、パワハラが多い職場だったのできちんと話して辞めます🥲🥲🥲家族のために本当に頑張ったので、おめでとう言ってくれたら嬉しいです❗️❗️"
2026/02/11,フォロワー3000人突破・冷やかしへの割り切り,13541,74,1,0,0,0,https://www.threads.com/@pro_syufu_takada/post/DUmlfhDiRY-,"え！？まって！？起きたらフォロワー3000人超えそうでビビってる…昨日まで200人とかだったのに😂通知止まらんくてスマホ壊れたかと思った（笑）で、やっぱり急に増えると「冷やかし」とか変なDMも来るんだけど、はっきり言います。そういう人には私の発信、必要のない情報だと思うので👋"
2026/02/11,DMパンク・副業予告,14337,323,5,0,0,0,https://www.threads.com/@pro_syufu_takada/post/DUm7MIwCcxH,"え、待ってDMパンクしそうなんだけど😂みんな副業に興味ありすぎてビビってます（笑）今、DM返信追いつかないから、私がやってるフクギョウについて投稿まとめてるからちょっと待ってて！💦💦（あ、noteじゃないです。笑）ちなみに、、先に言っておくけど「スマホでポチポチするだけで月100万」とか…"
2026/02/11,祝日の挨拶,13132,37,0,0,0,0,https://www.threads.com/@pro_syufu_takada/post/DUm7bLXiYTK,"とりあえず今日、祝日なのであんまりスマホ触れず…🙇‍♀️🙇‍♀️💦💦お返事追いついてなくてすみません！これから家族でご飯いってきます！💪 夜寝かしつけ終わったらゆっくり見ますねー！！！ みんなも良い休日過ごしてね🥰"
,フォロワー5800人突破・正直な話,4788,26,2,0,0,0,https://www.threads.com/@pro_syufu_takada/post/DUpgBbniWXG,"え、ちょっと待って！？フォロワーさんが一気に5800人超えてて正直ビビり散らかしてます…🙏 で、先に正直な話させてください。私がやってる仕事、ちゃんとやり方さえ間違えなければマジで誰でもできる内容ではあるんです。特別なスキルもいらないし。でも、"
