スクショ,投稿文,リプ,いいね,インプ,日時,URL
,"夫婦共働きで割とギリギリの生活なのに、妊娠して働けなくなったら普通に詰みじゃね。

今の日本で子ども育てるの無理ゲー過ぎない？

みんなどうやって生きてるわけ😭
街中で子連れ夫婦見る度、自然と拝んじゃうわ🙏







",10,114,"13,000",2025/5/6 10:54:05,https://www.threads.com/@mofu6868/post/DJS12Jnh-Im
,"noteとスレッズでこっそり90万円稼いだけど、まだ旦那に言えてない、、しばらく隠しとこ😏
































",3,135,"16,000",2025/5/6 11:04:26,https://www.threads.com/@mofu6868/post/DJS3B-LhG83
,"副業初心者にオススメなのは

YouTubeでもブログでもインスタでもなく

noteです（確信）





",0,101,"14,000",2025/5/6 11:08:27,https://www.threads.com/@mofu6868/post/DJS3fUUBdSm
,"noteで初月90万稼ぎましたが、もっと稼ぎたい（正直）ので有料ノートの売り方徹底的に教えます。ちなみに師匠とかいないし、他者のコンテンツは買ってません。ぜーんぶ独自。

手順
①自分の職業に特化したスレッズ垢作成
②ちょい過激な投稿でフォロワー増やす
③フォロワーの中からより濃いファンを作る（ライン誘導）
④有料ノートを書き始める（テーマはみんなの悩み、スレッズでバズった内容）
⑤ちょこちょこスレッズで内容チラ見せ&公開3週間前に告知
⑥ライン登録者から無料先行モニター選出
⑦感想をスレッズやnote本文に記載。
⑧有料ノートの価格はモニターさんにヒアリング（いくらが妥当？）☜超重要
⑨ライン登録者にはちょっとした特別感を（公開時間を早める、特典配布等
⑩公開3日前からスレッズでカウントダウン

これでスレッズ開始してから1ヶ月で90万円の売上達成😏

再現性めっちゃ高いと思う。









",0,416,"10,000",2025/5/6 11:20:07,https://www.threads.com/@mofu6868/post/DJS403ShD-f
,"ノートで稼ぎたい人。

無料記事や自己紹介記事は不要だよ。

有料ノート1個だけ。フォローやいいね周りなんかも一切不要。

人に媚びてない感出てかっこいいじゃん（浅い）

ほんとはいっぱい戦略が詰まってる

人の心理を理解して立ち回ろう





",0,170,"18,000",2025/5/6 12:06:43,https://www.threads.com/@mofu6868/post/DJS-KF6hoMn
,"なんか売上の画面のやつ、偽造疑われてて笑う

このアカウントの売上な訳なくね😂
別垢に決まってんじゃん

noteのアクセス画面とスレッズの管理画面送るわ

個人が特定されない範囲でそのアカ特有の情報って何あるだろ。全部開示してやるよ






















",1,82,"21,000",2025/5/6 16:35:54,https://www.threads.com/@mofu6868/post/DJTc9qiB7BT
,"スレッズ、なんとなく投稿してない？

・誰に向けて？
・どんな悩みを解決したい？
・読んだ人にどう感じて欲しい？

発信がただの「独り言」になっちゃダメ。

見られて終わる投稿じゃなく、信頼が蓄積されていく投稿しないとその先noteまで買わないよ






",0,182,"20,000",2025/5/6 20:43:27,https://www.threads.com/@mofu6868/post/DJT5SzTB7hP
,"私は1投稿投稿で最低30分かけてる。
でも、その代わり投稿頻度は2〜3日に1度。

一発一発ドーンドーーン！！って感じ。

一番伸びた投稿は1投稿で6000人近くフォロワー増えたよ

細かいテクニック詰め込んでるから後々細かく伝えられたらと思うよ。


















",0,125,"22,000",2025/5/6 20:51:46,https://www.threads.com/@mofu6868/post/DJT6PshhQye
,"ちょっとこのアカウントの運用変えるわ。

1日1〜2投稿、ノウハウ垂れ流します。
投稿は1ヶ月毎日続きます。
ただ、投稿は3日で消します。

30日後、今までのノウハウ投稿をガサっと一つの記事にまとめてnoteで販売します。

つまり、
毎日の投稿スクショ撮ったもん勝ち🙃






",11,494,"63,000",2025/5/7 12:41:48,https://www.threads.com/@mofu6868/post/DJVm99nhvLn
,"noteとスレッズがいいらしいってバレてきてXから流れてくる人多いみたい。

まだまだブルーオーシャンの内にみんなもっと早く知りたいよね。
DAY1でアプリ課金した人も1ヶ月タダ払いにならないようにしなきゃ

ってことでノウハウ垂れ流し速度を「倍」に。
現在）　1日1投稿✖️30日
変更後）1日2投稿✖️15日

消す速度も倍に。ごめんだけどそこはよろしく。

まとめたnoteは24日（土）に公開できるように準備するね。

この2週間、めっちゃ頑張るからいいねで応援よろしくね。






",0,383,"25,000",2025/5/11 13:24:58,https://www.threads.com/@mofu6868/post/DJf_Fljhitk
