スクショ,投稿文,リプ,いいね,インプ,日時,URL
,"賞味期限が気になる？
そんな野暮なこと言うのは
この際やめにしましょう。

ね🤫
a.r10.to/h5XD2…　pr
































",4,299,"50,000",2025/5/4 22:56:34,https://www.threads.com/@ojikawa_room/post/DJO-8Cjy6op
,"後ろ姿が最高なこの帽子！
再入荷されてる！！
すぐ売り切れそう！！！

かわいいよなぁ。
a.r10.to/h5XIo…　pr






























",2,258,"60,000",2025/5/5 8:02:45,https://www.threads.com/@ojikawa_room/post/DJP9cUTzKEI
,"【6選】公園行ったら大優勝セット

⛲️まとめました🛝
1. a.r10.to/hkSVk…
2. a.r10.to/hkbib…
3. a.r10.to/h5XIo…
4. a.r10.to/h5sKk…
5. a.r10.to/hNtCJ…　
6. a.r10.to/hkaWU… pr 




























",1,104,"30,000",2025/5/5 11:38:01,https://www.threads.com/@ojikawa_room/post/DJQWFAkysa9
,"【5選】カラーが最高なホーロー

ホーローっていいよなぁ
1. a.r10.to/h57gk…
2. a.r10.to/hk5Rv…
3. a.r10.to/hPY89…
4. a.r10.to/hgLgW…
5. a.r10.to/hNzS8…　pr 




























",1,45,"31,000",2025/5/5 13:51:52,https://www.threads.com/@ojikawa_room/post/DJQlZU9yq_x
,"母の日2025、迫る。

そして、焦る。
1. a.r10.to/hXAPw…
2. a.r10.to/heFYx…
3. a.r10.to/hg9S1…
4. a.r10.to/hNNJO…
5. a.r10.to/hRZbJ…
6. a.r10.to/hgZzu…
7. a.r10.to/hPtvt… pr
楽天ROOMにもまとめてます💐


























",2,173,"30,000",2025/5/5 17:03:27,https://www.threads.com/@ojikawa_room/post/DJQ7UjbyCjS
,"「部屋に""友達""ができるラグ」
を創り出した企業さんがいる。
アイデアがすご過ぎる。

MIYOSHI RUG(
@miyoshirug
)
さんの作品です🙂‍↕️🙂‍↕️




























",26,"4,291","220,000",2025/5/5 18:36:18,https://www.threads.com/@ojikawa_room/post/DJRF8mnyWpU
,"夏に1番似合う
クリアなブックカバー

僕が本を読む人だったら絶対買ってる
▼文庫本サイズ
a.r10.to/hkSa6…
▼46判サイズ
a.r10.to/hesqV…　pr





























",1,93,"32,000",2025/5/5 19:46:23,https://www.threads.com/@ojikawa_room/post/DJRN986y2XD
,"質感が最高なエコバッグ

素敵過ぎる...
a.r10.to/hP4xb… pr

































",1,181,"53,000",2025/5/5 22:15:11,https://www.threads.com/@ojikawa_room/post/DJRe_z4Seer
,"かわいいストラップ

SUTEKI
a.r10.to/h5zky…　pr 

































",2,163,"47,000",2025/5/6 9:20:11,https://www.threads.com/@ojikawa_room/post/DJSrGXMzkg2
,"最高にかわいいお香立て⚔️

和室におきたい⚔️
a.r10.to/hgJAX…　pr

他にも素敵雑貨を紹介してるので
よければ見てくださいね🙋‍♂️
→
@ojikawa_room




























",4,"2,887","84,000",2025/5/6 12:03:56,https://www.threads.com/@ojikawa_room/post/DJS91wNytpg
,"カラーが癖になるかわいいポーチ

こちら
a.r10.to/hNguc…　pr

































",1,169,"29,000",2025/5/6 15:24:07,https://www.threads.com/@ojikawa_room/post/DJTUv9hSuaS
,"ファミマ×コクヨが3/25に発売した
メッシュポーチがカラフルでかわい過ぎる🏪

そして今年の3月にコラボした
LAWSON×ユナイテッドアローズも良き。
カラビナケーブルが素敵過ぎる
詳細は次の投稿をみてね🙋‍♂️
→
@ojikawa_room
 






































",1,996,"95,000",2025/5/6 18:07:24,https://www.threads.com/@ojikawa_room/post/DJTnb5SS9qe
,"3/28から発売されている
LAWSONとユナイテッドアローズコラボ！
カラビナケーブルがなかなか良い！
↓詳細

全て3/28から発売中。
◆画像1
カラビナケーブル　USB－CtoLightning
2025年3月28日(金) 発売
ローソン標準価格 2,680円(税込)
ライトニングコネクタのiPhone等を繋いで充電が行える。
◆画像2
カラビナケーブル　USB－CtoC　
ローソン標準価格 1,780円(税込)
タイプCデバイスを繋いで充電が行える。
◆画像3
PD対応 リチウム充電器5000
ローソン標準価格 3,980円(税込)
リチウム充電池。
USB-A to Cケーブル、ストラップ付。
・5000mAh
・パワーデリバリー対応
↓ 

毎日こんな素敵雑貨の情報を
発信してるから見てねー🙋‍♂️
→
@ojikawa_room
 












",3,427,"810,000",2025/5/6 19:40:37,https://www.threads.com/@ojikawa_room/post/DJTyGodS25m
,"これ、こどもちゃんがいたら
絶対もっておきたい。
車のドアパンチを防げるアイテム！

ドアパンはほんと気をつけよ
a.r10.to/hR4cn…　pr






























",1,62,"70,000",2025/5/7 7:09:41,https://www.threads.com/@ojikawa_room/post/DJVA9eHzcbG
,"【懐い】
がんこちゃんのガチャガチャが
8月に発売されるらしい🦖

こちらです
a.r10.to/hYCyY… pr



































",1,46,"45,000",2025/5/7 11:52:01,https://www.threads.com/@ojikawa_room/post/DJVhRWWS2_s
,"これ掛け布団収納ケース！？ハハッ。
もうエイプリルフール終わったで。ハハッ。

背もたれになる掛け布団収納ケース
ってマジですか？？
a.r10.to/h5RtB…　pr































",1,349,"40,000",2025/5/7 17:57:29,https://www.threads.com/@ojikawa_room/post/DJWLGEASfx3
,"透明感がたまらないケース

会社員時代に知りたかった
a.r10.to/hYqL4…　pr

































",1,214,"50,000",2025/5/7 19:42:32,https://www.threads.com/@ojikawa_room/post/DJWXHiASKvo
,"丸っこくてかわいい花瓶

在庫セール中！急げ！
a.r10.to/hN2g7…　pr

































",1,125,"40,000",2025/5/7 21:19:15,https://www.threads.com/@ojikawa_room/post/DJWiL30ybR3
,"手間な空気入れが不要な
折りたたみ式プール

夏前に準備！
a.r10.to/h5Ywv…　pr
































",2,348,"37,000",2025/5/8 7:24:01,https://www.threads.com/@ojikawa_room/post/DJXnZRgT2rS
,"おしゃれな染み抜きペン🟪🟥🟦🟩

こちらです🟪🟥🟦🟩
a.r10.to/hkINo…　pr






































",1,110,"79,000",2025/5/8 12:40:12,https://www.threads.com/@ojikawa_room/post/DJYLlEHytTR
,"【5選】遊び心ある指輪

かわいい。
1. a.r10.to/h5Hoc…
2. a.r10.to/hNQa1…
3. a.r10.to/heQb9…
4. a.r10.to/hNOpz…
5. a.r10.to/h5vn9… PR




























",1,194,"41,000",2025/5/8 17:54:16,https://www.threads.com/@ojikawa_room/post/DJYvhbayS1H
,"🗣️＜濡れたもの中に入れてても乾燥される袋
🤔ん？？
🗣️＜濡れたもの中に入れてても乾燥される袋！
🤔ん？？？？
🗣️＜濡れたもの中に入れてても乾燥される袋！！！！！！！！！！！！！！！

まじでどういう原理でしょうか。
a.r10.to/hN19h…　PR




























",4,192,"19,000",2025/5/8 19:47:53,https://www.threads.com/@ojikawa_room/post/DJY8hiPyXft
,"チェック史上1番好きかもしれない

これです
a.r10.to/hNXAl…　PR

































",1,204,"73,000",2025/5/8 22:16:19,https://www.threads.com/@ojikawa_room/post/DJZNgqiyZU0
,"金平糖フレームのメガネが
素敵過ぎる🌈

こちらです👓
▼creema
creema.jp/item…
▼minne
minne.com/items… 




























",1,284,"41,000",2025/5/9 8:12:56,https://www.threads.com/@ojikawa_room/post/DJaRyfvT2Rv
,"食卓がカフェになる。

こちらです。
a.r10.to/h5MMH…　pr











































",3,105,"44,000",2025/5/9 12:22:13,https://www.threads.com/@ojikawa_room/post/DJauUQny3Uj
,"一見、バラバラなグラスなのに
並べてみるとピッタリ寄りそう。
→売り切れだったのが入荷されてる！！
在庫がめっちゃ少ない！！！！！
欲しい人は急いでー！！！

こちらから買えるよー！
a.r10.to/hkBF5… PR 




























",1,181,"69,000",2025/5/9 16:30:13,https://www.threads.com/@ojikawa_room/post/DJbKsrVSQw1
,"ノースフェイスってこんなに
可愛いかったでしょうか...

🗣️＜Kawaii !!!
1. a.r10.to/hPRHR…
2. a.r10.to/hgafW…
3. a.r10.to/hPugt…
4. a.r10.to/hkc59… PR 







































",2,741,"63,000",2025/5/9 18:44:49,https://www.threads.com/@ojikawa_room/post/DJbaGdPSKPG
,"グリーンが素敵な布団カバー

グリーンっていいよね。
a.r10.to/hkI23…　pr











































",1,186,"60,000",2025/5/9 19:46:15,https://www.threads.com/@ojikawa_room/post/DJbhIgqyAwR
,"シンプルが1番いいと
気付かされるウッドシェルフ
（値段がかわいくて驚いた）

シンプルがいい
1. a.r10.to/h52yv…
2. a.r10.to/hkQb1…
3. a.r10.to/hgxQO… PR




























",1,128,"36,000",2025/5/9 21:17:27,https://www.threads.com/@ojikawa_room/post/DJbrkYRyFGh
,"甥っ子3歳と遊んでると、
近所の女の子がやってきた。
僕の事を拙い言葉でその子に紹介する甥っ子
👦＜こで、おじちゃん。こで、おじちゃん。

おじ、悶絶。可愛すぎる！！！





",0,104,"16,000",2025/5/9 22:52:15,https://www.threads.com/@ojikawa_room/post/DJb2ayTSOBs
,"収納はシンプルで分かりやすいが1番大事

その通り＞👩👨＜同意！！
1. a.r10.to/hFkUC…
2. a.r10.to/hk89W…
3. a.r10.to/h5e0G… pr 





























",1,250,"56,000",2025/5/10 8:00:06,https://www.threads.com/@ojikawa_room/post/DJc1HUqT48H
,"カラーが最高に素敵すぎる...

かわええ...
a.r10.to/hPsR4… PR 

































",1,102,"27,000",2025/5/10 10:23:08,https://www.threads.com/@ojikawa_room/post/DJdFe79SPRo
,"【6選】最近ときめいた涼しげな靴たち🌻

全部欲しい👞
1. a.r10.to/hkwCB…　
2. a.r10.to/hP7wA…
3. a.r10.to/hNdiS…　
4. a.r10.to/hkh9c…
5. a.r10.to/hgDVJ…
6. a.r10.to/hPAC4…　PR
楽天ROOMにもまとめてます🙋‍♂️



























",1,279,"40,000",2025/5/10 11:01:58,https://www.threads.com/@ojikawa_room/post/DJdJ7WaS8Wr
,"🕺調子に乗りすぎているご祝儀袋💃

癖あり★
a.r10.to/h5VVs…　pr











































",4,319,"63,000",2025/5/10 17:57:47,https://www.threads.com/@ojikawa_room/post/DJd5g7XSPYY
,"バイカラーが素敵すぎませんか。

ほんまに心の底から...
🗣️かわいすぎる！！！！
1. a.r10.to/hNwQC…
2. a.r10.to/h5sb5…
3. a.r10.to/hUSVH…
4. a.r10.to/h5JLy…
5. a.r10.to/hPE3g… PR






































",1,92,"43,000",2025/5/11 8:41:55,https://www.threads.com/@ojikawa_room/post/DJfesd-zhzT
