スクショ,投稿文,リプ,いいね,インプ,日時,URL
,"おはようございます。

昨日の投稿がバズってしまい、インスタのDMで

「騙されそうになってました😭」
「ほんまにむかついてます！！」

って連絡がたくさん届き、被害者を減らせて良かったと思ってる、ただのママですｯｯｯ

今日も楽天と睨めっこするで〜〜〜





",1,86,"66,006",2025/6/4 8:00:42,https://www.threads.com/@kanamama_baby/post/DKdNDkotK1p
,"超失礼なママ友に、「あんた、なんでズボラなくせに、部屋はそんなに綺麗なの？w」って聞かれたから、「収納に強いランドリーグッズを使ってるからだよっ！」って教えてあげたら、「スパセで買うから、何使ってるか教えて」って言われたから、送った私の推し厳選4アイテムがこれ↓



※ここから、全部PRのリンクになるから、嫌な人は自分で検索して買ってね！#PR
❶ランドリーバスケット
キャスター付き2段タイプ。カゴだけ取り外せて最強！
a.r10.to/hkeny…
❷ハンガー収納ラック
洗濯機の横につけてハンガーを収納。隙間埋めれて最高。
a.r10.to/hkm0A…

❸：伸縮自在ピンチハンガー
画像見ての通り。伸縮自在で場所取らない。
a.r10.to/hkC7M…
❹：折りたたみ式 物干しスタンド
使わない時のコンパクトさが以上。本当に小さい。（笑）
a.r10.to/hg3Sn…
































",2,12,"36,882",2025/6/4 21:00:34,https://www.threads.com/@kanamama_baby/post/DKemTeuMIDX
,"ママは全員「LARUTANのミルクウォーマー」で哺乳瓶の『消毒』は、絶対にしないとダメよ。

たまに、哺乳瓶の消毒してないママ共いるけど、『サカザキ菌・サルモネラ菌』が繁殖して、最悪、壊死性腸炎、髄膜炎なるから、子供のために消毒は絶対にして。スーパーセールで60%オフで買えるから、早く楽天一番いっておいで！！！


一応、私の紹介リンク（PR）も貼っておくから、ここから買ってもいいし、自分で楽天市場で探して買ってもいいよ！！
とりあえず今は60%オフだから、買うなら、早めに！
a.r10.to/hRkyo…
【楽天市場】【P10倍!】＼レビュー2700件突破／★楽天15冠★離乳食冊子付き♪＜管理栄養士推薦＞ミルクウォーマー LARUTAN ボトルウォーマー 哺乳瓶ウォーマー ミルク 調乳ポット 離乳食

item.rakuten.co.jp
【楽天市場】【P10倍!】＼レビュー2700件突破／★楽天15冠★離乳食冊子付き♪＜管理栄養士推薦＞ミルクウォーマー




















",1,13,"35,343",2025/6/4 18:39:12,https://www.threads.com/@kanamama_baby/post/DKeWIIzT6ws
,"【ご報告】
6月も、スレズでぼそぼそ呟いていたら、15,344円になってます。この調子でいけば、今月は¥50,000はいただけそうぽ🥺 これならパートを週3に減らしても、余裕でやっていけそうです🥹🥹🥹 あっ、でもちなみに、


このアカウントの収益が15,344円なので、他のアカウントも含めると、6桁は超えてるぽ🥺 1アカウントだけでダメなら複数アカウントやればいいだけだから、簡単だったりします🥺
@kanamama_baby
 ←をフォローするのと、固定投稿チェックするの忘れないでね🥺















",6,68,"31,000",2025/6/8 18:23:21,https://www.threads.com/@kanamama_baby/post/DKonfjVhKMA
,"知らない人が多いけど、子供のIQを高くしたいなら「DHAの摂取」は徹底すべき。オックスフォード大学の研究で、週に2回以上、サーモンやイワシなどDHAを含む魚（1食約60g）を食べることで、IQが約5ポイント上がることがわかってるんだよ。ただ、水銀の蓄積リスクなどがあって、


マグロ（特にクロマグロ）、メカジキ、サメなどの大型魚には水銀が蓄積しやすい。厚生労働省のガイドラインでは、妊婦や乳幼児の場合は特に摂取量を制限してる。（例：妊婦はクロマグロの刺身なら週80g以下推奨）。サーモンやイワシなど小型魚は水銀濃度が低く安全性が高いので、なるべく小型魚を食べさせてあげてね🤤
ズボラでも子供をスクスク育てるライフハックを一緒にしたい人は
@kanamama_baby
 ←フォローしておいてください🙋‍♀️










",1,91,"24,394",2025/6/16 21:28:19,https://www.threads.com/@kanamama_baby/post/DK9jBQDz_e0
,"【まだギリ間に合う『楽天スーパーセール攻略』】※3日後に消す

↓本日20時からスパセ始まるから、みんな準備しときね

❶『買いまわりキャンペーン』に事前エントリー
エントリーしないと始まりません。無料で数秒で完了。

❷↑これで最大ポイント11倍になる
ショップを10店舗以上で分けて買えばOK。
日用品とかで分けるのがコツ。

❸クーポンのチェック
各ショップごとに割引クーポンが出てる。おすすめはコメ欄

❹クーポンがあれば即使う、なければそのまま買う
無理に探し回るより、欲しいものを絞って確保が大事。

❺楽天カードを使う
支払いを楽天カードにするだけで＋2倍ポイント。
持ってない人は今が作りどき。

各URLはコメント欄に全て貼ってるから、好きに使ってねん↓


【より細かい説明】
❶『買いまわりキャンペーン』に事前エントリー
↓このページからエントリーボタン押せば完了◎
a.r10.to/hkJiO…
❷『買いまわりキャペーン』がわからない人は、以下で予習推奨
解説ページ： a.r10.to/h5ttu…
買い周りキャンペーンのクイズ： a.r10.to/h5gfr…
❸クーポンはとりあえず、以下を見ておけば最低限はOK
a.r10.to/h52aC…
【楽天市場】楽天スーパーSALE

event.rakuten.co.jp
【楽天市場】楽天スーパーSALE









",1,40,"20,001",2025/6/4 9:32:54,https://www.threads.com/@kanamama_baby/post/DKdXm8kznqY
,"このやり方、思ったより知りたい人多いのか🥺🥺🥺

あんまり広めない方がいいのかな、、、
普通にnoteに書いて配布しようと思ってたけど、みんなそれでいい？🥺

（でも、先に楽天スーパーセールあるから、そっち終わってから公開することになると思うけど、、、😂）








",1,98,"19,322",2025/6/4 8:31:59,https://www.threads.com/@kanamama_baby/post/DKdQotIz-0x
,"「不倫アカ」「育児アカ」「恋愛アカ」

↑この3つを子供が寝てる時間に、投稿考えて、あとは予約投稿にセット！！！ あとは、いつも通り、育児してれば、あら、不思議。ぽつぽつ収益が発生🥺🥺🥺 

知ってるか知らないかだけだね😏





",3,86,"17,764",2025/6/8 21:43:21,https://www.threads.com/@kanamama_baby/post/DKo-YU6MmCI
,"ほんまに聞いて欲しいんやけど、楽天スーパーセールは戦争やで。ただの買い物じゃない。

ほんまに人気な商品は一瞬で売り切れるんやから、絶対に今のうちから買いたい商品は買い物かごに入れとかな、あかんでーーー🔥

のんびりしてたらすぐ売り切れちゃうで🥹

↓戦争勝つ人は、ぽちっといいね押しといて🔥




",0,24,"17,234",2025/6/3 13:39:04,https://www.threads.com/@kanamama_baby/post/DKbO_CxzJC_
,"楽天スーパーセールが始まる時なんやね。

みんな狙ってる商品とかある？
あったら教えておくれっ





",1,3,"14,904",2025/6/3 13:20:35,https://www.threads.com/@kanamama_baby/post/DKbM3l5TRfp
