スクショ,投稿文,リプ,いいね,インプ,日時,URL
,"先月ふと軽い気持ちで始めた
楽天アフィ×threads。
月5-10万くらいでも...と思ってたらこれ。
嬉しい。良いのかと戸惑ってしまう。

1ヶ月、正直テキトーで20万。
色々、考えてみるともっと楽しいかも。
SNS、夢の塊や...



































",5,9,"1,114",2025/4/16 23:40:16,https://www.threads.com/@oji_to_moji/post/DIgtoXmSNIh
,"noteで楽天アフィの記事を書いてる人たち
自分の運営してるアカウントを公開しない
理由はなんなんだろう。。。
僕はしようと思ってたんだが
公開しない方がいいんだろうか。
しない方が良い怖い理由があれば知りたい。







",2,8,"1,413",2025/4/16 23:42:37,https://www.threads.com/@oji_to_moji/post/DIgt5lsySwa
,"楽天アフィ頑張ってる人、いますかー







",16,46,"3,591",2025/4/17 10:20:54,https://www.threads.com/@oji_to_moji/post/DIh28d8yNhU
,"昨日までは、自分のアカウント
バレバレでこっちのもしてたけど
急に怖くなってやめた😇







",0,1,"1,014",2025/4/17 10:21:34,https://www.threads.com/@oji_to_moji/post/DIh3BUbyVTv
,"ちなみに僕が楽天アフィをはじめたきっかけは
これならできるんじゃない？？
と思ったから。

いつも「これならできそう！」と思っても
先延ばしにして、結局他の行動が素早い人が
やって成果を出して、埋もれてく。

やから今回は思ったら即行動や！！
ってできたからよかった。ほんと
考えるより動くが大切🙂‍↕️







",0,5,"1,147",2025/4/17 10:44:59,https://www.threads.com/@oji_to_moji/post/DIh5s2xSHlJ
,"noteを書いている。
自分の思ってる事を言語化するの難しいけど楽しい。あと整理になってとても良い。







",0,118,"1,262",2025/4/17 15:03:55,https://www.threads.com/@oji_to_moji/post/DIiXVWCykBT
,"ここ最近、夜中まで作業してるから
奥さんに、最近一緒に寝れなくて寂しい
と言われてしまった。
ほんと、なんのために仕事してるか
定期的に考えないとね。
フリーランスは特に。
ということで、今日は早く寝る！！！








",0,6,"3,442",2025/4/17 18:03:06,https://www.threads.com/@oji_to_moji/post/DIir1scSxTX
,"3月、スレッズはじめてから急激に伸びた。
反対にスレッズのこの拡散バブルがなくなる
時が怖くなってきた🥶
その前に、アカウント成長させよう！！






















",0,26,"2,807",2025/4/17 19:00:21,https://www.threads.com/@oji_to_moji/post/DIiyY-hS15G
,"YouTubeで楽天ROOMのこと勉強してる時
「インスタと違ってフォローしまくった方がいい」
と聞いて、毎日ぽちぽちしまくった。

↑これしてる人同士へ警報。
そんことするより...（続く）

結論、そんなことするより
スレッズで楽天アフィした方が絶対良い。
画像左　楽天ROOMフォロー周りした時期
画像右　やめてスレッズで楽天アフィリした時期


























",2,5,"1,561",2025/4/17 21:09:58,https://www.threads.com/@oji_to_moji/post/DIjBOU8ylLo
,"禁煙1ヶ月目の人が
友だちの喫煙所について行った時に
絶対に言うこと
「1mgやから大丈夫やろ😇」







",2,7,"3,294",2025/4/17 22:16:41,https://www.threads.com/@oji_to_moji/post/DIjI3A7yUma
,"スレッズ×楽天アフィはじめて1ヶ月と2日目。
今日は、はじめてnote書いてみた。
早く完成させたい。
楽天ROOM頑張ってる人、無理せず
自分のペースでやりましょう🙋‍♂️
































",14,46,"3,319",2025/4/17 22:23:28,https://www.threads.com/@oji_to_moji/post/DIjJospSRXo
,"ゴールデンウィーク前に
楽天アフィはじめてよかった。
抜群に楽天トラベルの件数が多い。
旅行のこと一切呟いてないのに😇





















",5,128,"24,000",2025/4/17 23:47:26,https://www.threads.com/@oji_to_moji/post/DIjTPwSSfrX
,"メインで運用してるインスタアカに
「SNSスクールの講師になりませんか？」
とたくさんのアカウントから勧誘が来る。
ほんと闇だなと感じる事多数。
気になる人多ければ、呟こう。







",0,7,"1,818",2025/4/18 1:44:42,https://www.threads.com/@oji_to_moji/post/DIjgqoVSQRL
,"はぁ。ほんと嫁さんごめん。
今度の休みの日は、好きな事たくさんしよう。
















",0,8,"1,713",2025/4/18 1:45:49,https://www.threads.com/@oji_to_moji/post/DIjgyuySTE_
,"昨日の楽天アフィ載せた投稿のリーチ数。
やっぱりフォロワー数が多いと、普通の投稿でもリーチ数が伸びる。
しんどくても、フォロワー数増やすために
初動でたくさん動いた人が、後から笑えるね🙂‍↕️


















",0,4,"1,752",2025/4/18 8:53:35,https://www.threads.com/@oji_to_moji/post/DIkRvyISkXE
,"いかに、クリックしてもらうかが
本当に大切です🙂‍↕️




























",4,8,"2,022",2025/4/18 9:18:44,https://www.threads.com/@oji_to_moji/post/DIkUoCnSa8s
,"楽天アフィ×threads運用はじめて3日目！！
めっちゃ投稿バズった！！！
→さて、あなただったら何をする？？

「バズった投稿にアフィリンク貼る」
と思った人はもったいない😭

どうすりゃいいんや？
ってことをnoteにまとめてるので
よければフォローしてね🙋‍♀️
（フォロワーさん限定で、プレゼントか100円とか最安で記事を販売しようかなぁと思ってます！！）











",3,7,"2,304",2025/4/18 10:19:24,https://www.threads.com/@oji_to_moji/post/DIkbkZ4S974
,"楽天アフィしてて
自分、商品選定のセンスがないな😭
って思ってる人へ届け！！！

1️⃣同ジャンルでバズってる投稿みつける
2️⃣その投稿の商品リンクタップ
3️⃣その店で売れてる商品ベスト5見る
4️⃣それを紹介する

ってしたらええよ🙋‍♂️







",6,51,"2,753",2025/4/18 11:11:17,https://www.threads.com/@oji_to_moji/post/DIkhgX6yVMv
,"みんなフォローありがとう😭
ほんとは全員フォロバしたいけど
変な業者（笑）もいるから、判別がめんどい！

楽天アフィとか一緒に頑張りたい!!
って人はこの投稿にいいね下さい！
フォロバしに参ります🫡
みんな自分のペースで頑張ろ！！

みなさんありがとう😭
急にフォロバしすぎるとスパムと
勘違いされるのでゆっくりしていきます！
お待ちを🙇‍♂️（さっき15人くらいはできやしたー！！）

こちら、フォロバ活動
締め切りました🙇‍♂️ごめんよ
















",14,120,"2,698",2025/4/18 12:28:18,https://www.threads.com/@oji_to_moji/post/DIkqUfky0eD
,"楽して稼ぐ方法はないから
楽しく稼ぐ方法を考えた方が絶対いい。
→ほんとにそれです🙂‍↕️







",6,13,"2,079",2025/4/18 15:59:57,https://www.threads.com/@oji_to_moji/post/DIlCirEyKAm
,"楽天アフィで
雑貨とか便利グッズ紹介してる人！！
「今日、暑くない？？？」
ということは...（続く）

ハンディファンとか、扇風機の
アフィしたら伸びやすいよ〜！
あと、この一言追加する。
「夏になると売切れるから早めにね！」
僕も今日の朝一で投稿したけど
通常のものより伸びてる㊗️

基本的な事かもだけど
今後のイベントを考えて
アフィ投稿すると他の人と差をつけれるよ！
で、これからはGWが近い。
と、いうことは😏？
















",8,15,"2,304",2025/4/18 16:19:17,https://www.threads.com/@oji_to_moji/post/DIlEwRHyhGk
,"さっきの投稿でも言った通り
うまくアフィで売ってる人は
「季節」「イベント」を意識してます。
5月に売れやすい商品はコレです。
そして↓

コレを見て
「よっしゃ！じゃあその商品探そ」
と思ってすぐ行動できた人👍👍👍
そして
「ってことは、虫対策とかの雑学を拾って投稿に盛り込んだらバズるんじゃね？」
「GWに合わせて、自分が過去に行った旅行先＋絶対買った方がいいお土産のこと呟いたら、いんじゃね？」
みたいにプラスαで他の事を思い浮かんだあなたは👍👍👍👍👍👍👍
無理せず、みんなで頑張ろ〜🙋‍♂️

ゴールデンウィークに使えるネタを
さっき投稿したから、参考にマネしていいよ〜🙋‍♂️

コレを見て
「よっしゃ！じゃあその商品探そ」
と思ってすぐ行動できた人👍👍👍
そして
「ってことは、虫対策とかの雑学を拾って投稿に盛り込んだらバズるんじゃね？」
「GWに合わせて、自分が過去に行った旅行先＋絶対買った方がいいお土産のこと呟いたら、いんじゃね？」
みたいにプラスαで他の事を思い浮かんだあなたは👍👍👍👍👍👍👍
無理せず、みんなで頑張ろ〜🙋‍♂️

ゴールデンウィークに使えるネタを
さっき投稿したから、参考にマネしていいよ〜🙋‍♂️


















",2,42,"2,244",2025/4/18 18:00:43,https://www.threads.com/@oji_to_moji/post/DIlQXIKyNUj
