スクショ,投稿文,リプ,いいね,インプ,日時,URL
,"私的には、ksげれば手段はなんでもいいと思ってた。独身なんだったらコスパ良くksげる手法すればいいと思ってるよ。だけど今は子供がいるから、身バレとか声出しとかはリスクに感じちゃう。
その点、今私がやってる手法は「身バレなし・顔出し・声出しなし」で、在宅ワーク可能。
好きな時に子供の面倒見れるし、時間もいくらだって使ってあげられる。まさに夢のようなやり方。
何やってるか知りたい人いる？いいね多かったらThreadsでちゃんと発信していくね！👀✨少なかったらフォロワーさん限定でDM突撃してコソコソ話する🥺









",0,6,135,2025/08/12,https://www.threads.com/@wagamama_urara/post/DNQS4Rvv3WG?hl=ja
,"占い🔮初めて初月100ﾏｿいったけど、ksげてもやっぱり半額シールしか勝たんし、毎朝ドタバタ怒涛すぎてまともにご飯食べてる暇もありませぬ。
あ、でも安いウィンナーじゃなくてシャウエッセンを何気なく買えるようにはなりまちた！！女性としてまだまだ綺麗でいたいけど、こういう些細な幸せも当然大事にしていきたいよね。わかる人いるかな？







",0,5,325,2025/08/12,https://www.threads.com/@wagamama_urara/post/DNQV-snBATa?hl=ja
,"おはようございます！！もうお昼！！
実はお盆てことで義実家に帰省中。わがっ子が可愛がられてる姿は嬉しいけど、常に「いい嫁」「いいママ」モードで気を張ってるから、夜にはぐったり。義母の前でウトウトもできないし、子どもの動きも全部気になる。これ、旅行より体力使う説あるわ。帰ったらまずは一人でカフェ行ってパフェ食べよっ🍨










",0,3,207,2025/8/13 11:00:00,https://www.threads.com/@wagamama_urara/post/DNRyBebPSyg?hl=ja
,"旦那には内緒でThreadsで、、
皆さん、フク業どんなことやってますかー？
note？クライアントワーク？物販？
私は占い🔮始めたんだけど、在宅でできる、いいksぎ方ありますか？







",8,16,608,2025/8/13 12:00:00,https://www.threads.com/@wagamama_urara/post/DNPPp1zvD38?hl=ja
,"産後のお腹が気になりすぎるからダイエットもしたいし、美容医療もやりたい！！！渡韓したいなぁ。
主婦の皆さんおすすめの「コレやってよかった！」ってお肌治療ありますか？リプで教えてくれたら嬉しい🥹




",2,5,165,2025/8/13 13:00:00,https://www.threads.com/@wagamama_urara/post/DNPVhxUP9Du?hl=ja
,"公園に義母とわが娘と遊びにきてるのですが、「子供は2人は欲しいわね👵」とのこと。それを決めるのはこっちなんですが！？！？





",1,12,"4,983",2025/8/13 15:00:00,https://www.threads.com/@wagamama_urara/post/DNSNbW4vBBI?hl=ja
,"Threadsでとりあえずnote書いて0→1達成したけど、その後全然ksげてないって人へ。
占いやりましょう。
クライアントワークで低単価で買い叩かれるよりストレスなく、子供との時間も確保しながらksげますん。私も占いに舵切ったおかげで初月100ﾏｿいけました。



今月も、お盆で実家に帰省してるのでまともな時間なんて取れっこないですが、ありがたいことに毎日のように売上立ってます。
子供との時間を大事にしながらksいでいきたいよ！！って主婦の方は私をフォローしておいてくださいね！
気分次第でノウハウポロっていくかもしれないので・・















",0,8,"1,473",2025/8/13 19:00:00,https://www.threads.com/@wagamama_urara/post/DNSrNdcvPDM?hl=ja
,"【それだと、一生売れないよ？】
最近占い🔮流行ってるよね！初月100ksいだ私の🔮垢でもたくさん見かけるよ〜
だけど、見てて「うわ、もったない〜」って思うポイントだらけだから、気をつけてね
↓



例えば、、
・AI感丸出しの投稿やプロフィール
・アイコンも「それChatGPTで作っとるやろ！」ってクオリティ
・ひたすら無料鑑定に誘導
→やりすぎると、一生伸びない、売れないアカウントの出来上がり。
AI使うのは別に悪くないと思ってるし、私も毎日チャッピーに助けられてばっかだけども、
『お客さんはAIで作った、芯のこもってない投稿を見たいか？』というのを考えてみてね。
AIを使うのか、AIに使われるのかが腕の見せ所だよ〜。「楽できるっしょ！」って考えの人はそのままお腐りやがれください🫩






















",0,2,298,2025/8/13 20:00:00,https://www.threads.com/@wagamama_urara/post/DNSwMDBM_vU?hl=ja
,"noteで頑張ってマネタイズしようとしても効率悪くない？
結局あれって選ばれないといけないわけだから、低単価で出しても20万とか売れないわけじゃん。
100円のnote→200人に売る
こんなの私にはムリ。それよりも、、





占いジャンルで3万円とかの単価で売ればさ、少ない人数でいいからそっちの方が再現性あるくない？
ただでさえ子供の面倒みなきゃなんだからさ、そこまで時間かけなくてもできるksぎ方じゃないとしんどいだけだよね〜










",0,10,"1,023",2025/8/13 23:00:00,https://www.threads.com/@wagamama_urara/post/DNS7t7lvFp7?hl=ja
,"お盆で義実家なう。
義母「あなたも、もっと働いたら？」
私「


残念！あなたの想像以上にｶｾいでます。占い🔮で！
時給1,000円のパートで心身をすり減らすのが、あなたの言う「働く」ですか。
みんなも義母に言われてるのかな？ 


































",3,193,"2,579",2025/08/14,https://www.threads.com/@wagamama_urara/post/DNUkdh_paIA?hl=ja
,"占い垢で初月100マン行った主婦です。
ThreadsとAIの組み合わせが今最もアツく、かつ再現性ある方法なの気づいてますか？
大事なのは、「鑑定書を何作るか」とか「フォロワーを伸ばす」とかじゃない。
「初見の人がつい追ってしまうようなキャラ設定」
コレを理解していないからです。
尖ったキャラならなんでもいいんでしょ？
⇨違うので気をつけてくださいね
（数日で消すのでスクショ推奨）






まず第一に、今日はコレだけ覚えて帰ってくださいってのを言いますね。
『顧客理解』
コレがないと始まりません。そして、コレが全てと言っても過言じゃないです！！
占いに来るお客さんは何を求めてあなたのアカウントを見にきてるのか言葉にできますか？
尖ったキャラクターの変な口調を楽しみに来てるのでしょうか？違いますよね
そんなものはあくまで枝葉。
占い垢やったことある人は絶対一回は思ったことあるよね🥹ｗ
「え、こんなキャラがなんで伸びるの？？？w」って。
その気持ちは間違ってないから安心して。
あのアカウントたちも別に売れてるとは限らないからね。フォロワーが多いのと、売上が立ってるかはまた別問題。
なのであまり焦らず、自分がお客さんになったつもりで「どんなアカウントにならお金を払ってもいいかな」って目線でライバルたちのアカウントを眺めてください！
私の気分次第でこの企画すぐに辞めちゃうから、「続けてほしい！」って人はぜひいいねポチッと押しといてくれると嬉しい！ 




















",0,6,316,2025/08/14,https://www.threads.com/@wagamama_urara/post/DNUdzmRJqKV?hl=ja
,"これ、今日の21時から「とあること」始めていきます、、ドキドキ💓

















",0,1,287,2025/08/14,https://www.threads.com/@wagamama_urara/post/DNU3MvDpvW0?hl=ja
,"おはようございます✨
昨日の投稿からフォロワーさんが増えてて嬉しい☺️
有益なやつは1日で消しちゃうのでスクショするなりしてとっといてくださいね！










",0,3,312,2025/8/14 8:30:00,https://www.threads.com/@wagamama_urara/post/DNUDHKWzxPR?hl=ja
,"『占いアカ10daysブートキャンプ』　DAY1
占い開始初月で100万ksいだわがママが、占いノウハウを垂れ流していくこの企画。
今日から10日間、占い垢でksいでいくための必須事項をお話ししていきます！
初日の今日は
『占い垢でksいでいくためのマインドセット』について。
「早くksげるアカウントについて教えてよ！」って声が届きそうですが、
怒られそうだけど、書きます。
【マインドセットが全て】
といっても過言じゃないです。
いいですか。
コレ知らないとksげないです
↓ 

まず大前提、「占いでksぐ」と聞くと、8割の人は『怪しい』って思います。
アナタも思った経験ないですか？私も当然最初は思ってました。
🐇「え、占い自体は好きだけどコレでksげるのか？」ってね。
だって今まで占いを受けはすれど、自分が誰かに占いをするだなんて経験なかったから。
だから当然迷いました。
ただ、思ったんです
『コレ、みんな思ってるな』って。
主婦あるあるですが、ママ会でとりあえず話を共感して合わせておくみたいなの、ありますよね🫠
実は私そういうの苦手なんですけど、ほとんどの方は『ksぐ』ということに対して何か罪悪感だったり、いけないもの、というようなイメージがあるんじゃなかろうかって思ったんですよ 


ってことは、みんなやらないんです。
ここにチャンスがあると思いました。
これは事後報告ですが、先日別のSNSを見ていたら、数億ksぐ経営者の人も同じようなことを仰ってたので、当時の私の直感は間違ってなかったんだ‼️
と安心しております😮‍💨
さらに今はAIがあるおかげで、何かを学ぶのもカンタンにできます。
正直、私が4歳の我が娘を育てながらも🔮で日給2〜5万を出せているのは、AIのおかげです。
明日は、『AI×占いを極めた先の未来』についてお話ししていこうと思います。
今から始めても遅くない。
むしろ『占い参入してる人が増えつつある今』だからこそ刺さるAIの使い方なんかもお話ししようかと。
ーーー
いいねくれるとモチベになります！見た人はぜひポチッと押してください🙏
このポストは3日以内にアーカイブに入れるので、スクショ推奨です🙂‍↕️ ",0,48,"2,201",2025/08/15,https://www.threads.com/@wagamama_urara/post/DNX_zW5PFwB?hl=ja
