スクショ,投稿文,リプ,いいね,インプ,日時,URL
,"はじめまして〜！！Threads始めてみました！
スッピーです✌️
占いとココナラを掛け合わせて100ﾏﾝいった1児のママです。占いを仕事にしたい人ってThreadsにどのくらいいる？🙋‍♀️






",3,26,970,2025/10/31 15:52:28,https://www.threads.com/@supic.han/post/DQdtfXcDwy3
,"ママ友にも言える占い副業！それがココナラ占いなんだよね🌝ココナラ占いのこととかThreadsで発信していこうと思ってますので同じ主婦さんや占い師のみなさんはよろしくお願いします✨





",0,19,584,2025/10/31 15:53:04,https://www.threads.com/@supic.han/post/DQdtjvGD9JR
,"「占いって怪しいよねw」って言ってた私が 
今、ココナラで月100ﾏﾝ突破しました‼️

1児のママで、占いは趣味レベルだったけど 
おうち時間でちょこちょこやってたら 
気づいたら安定収入になってた😌 

「ﾌｸ業したいけど怪しいのはムリ」ってママさん、 
意外と占いがピッタリかもって話🌝 

怪しくない占いﾌｸ業、知りたい人は仲良くしてね！






",0,13,411,2025/11/1 19:08:12,https://www.threads.com/@supic.han/post/DQgoryxk7Bq
,"占い、スピを仕事にするならココナラ一択です。 
SNSを集客媒体にすると毎日投稿しなきゃいけないけど、  ココナラは勝手に集客してくれるからSNSいらないよん🌝
私は完全初心者、SNSほぼゼロで初月15ﾏﾝ行きました✨もっと詳しく知りたい人いる？







",6,17,736,2025/11/1 20:51:11,https://www.threads.com/@supic.han/post/DQg0eDLE9LY
,"ココナラ占い、需要ありそうだね〜！！🔮 
興味ある人チラホラいてうれしい🌝

特徴としては…

・毎日投稿しなくてOK 
・集客しなくても勝手にお客さんがくる 
・実績なくても出品できる 
・SNS顔出し不要 
・やればやるだけ💰UP 
・家事育児の合間にできる 
・スマホだけで完結📱 
・意外と競合少ない（←ここ重要）

実際に私はSNSゼロ・霊感ゼロで月15ﾏﾝまでいきました✌️正直まだまだ穴場だと思ってる🤫
やってみたい人だけ仲良くしよ🫶






",3,21,636,2025/11/2 5:17:48,https://www.threads.com/@supic.han/post/DQhuco0E6kU
,"ほんとに今の日本って物価が高すぎる。 
別に毎日カフェとかブランド買いとか贅沢したいわけじゃなくてさ、  値段を気にせず国産肉を買いたいし、  子供に旬に合わせたフルーツを毎日食べてほしいし、  家族みんなが揃ったら月1とかで外食したいだけなんだよね〜 
これ分かる人いる？🥺







",0,14,615,2025/11/2 21:51:41,https://www.threads.com/@supic.han/post/DQjgL-5j43u
,"専業主婦の方って、Threadsにどれくらいいるんだろ？🫣旦那さんの収入でなんとかやりくりできてるけど、 
正直、毎月ギリギリ…。でも時間だけはある！

って人、いる？スキマ時間って毎日なにしてるの〜？

そういう人にこそ、向いてる働き方があると思ってて🌝ゆるく話していきたいから、気軽に絡んでね🫶










",1,10,699,2025/11/2 21:54:12,https://www.threads.com/@supic.han/post/DQjgeccD_cb
,"ガチの副業初心者、ジャンル未経験が
週5、2〜3時間はたらいて初月でコレです！

↑この時間確保できる人ならサポートしたいなと思ってるからフォローして仲良くして〜！
私も1児のママだから主婦やママさん歓迎だヨ◎






















",7,39,"2,021",2025/11/2 22:00:49,https://www.threads.com/@supic.han/post/DQjhO5TDzl4
,"どうも〜！占いで気づいたら100ﾏﾝかせいでた、専業主婦のスッピーです🌙
一緒に頑張ってくれる仲間を見つけたくて、Threads始めてみたんだけど…  何から発信したらいいか、ちょっと迷ってる😂笑

そもそも、みんなココナラって知ってる？ 
副業に興味あるママさんってどれくらいいるのかな？
「私も！」って人いたらいいねで教えてね✨






",0,18,736,2025/11/3 8:00:27,https://www.threads.com/@supic.han/post/DQkl2wdDl70
,"専業主婦、1児のママがココナラで在宅ワーク始めてから、どんな感じだったか書いてみるね🌝

初月：15万円 
→正直びっくり。商品出してみただけだったのに、想像より反応あった。

2ヶ月目：12万円 
→ちょっと落ちたけど、「これくらいでも十分かも」って思った時期。

3ヶ月目：18万円 
→リピーターさんが増えてきて、「あ、これ続けられるな」ってなった。

4ヶ月目：22万円 
→買い物で値段見て悩む回数が減った。ちょっとした変化だけど嬉しかった。

5ヶ月目：25万円 
→パート戻らなくていいかも…って本気で思った。

6ヶ月目：30万円 
→もう副業じゃなくて、ふつうに仕事。生活の一部になった🌝

特別なスキルもなかったし、 
スマホだけでここまできたのは自分でもびっくりしてる。
「私にもできる？」って思ってる人こそ、やってみてほしいなぁ🌝




",5,27,"1,638",2025/11/3 15:39:10,https://www.threads.com/@supic.han/post/DQlaWg2jx6E
