スクショ,投稿文,リプ,いいね,インプ,日時,URL
,"この時間だから言いますが、正直、月150万は簡単すぎます。

今のうちに私をフォローしておいてください、これだけ言っておきます🐸





",0,122,"14,000",2025/9/29 23:01:50,https://www.threads.com/@supisama_uranai/post/DPMFMBzEgUt
,"占い・スピ系で万垢いきたいひとどれくらいいますか？🐸🔮






",16,121,"4,775",2025/8/22 10:13:34,https://www.threads.com/@supisama_uranai/post/DNo3D38y7x4
,"結局スレッズは「絡んだもん勝ち」です。どれだけいい投稿をしても、一人でやるより、誰かに拡散してもらった方が100倍速く届きます。スレッズは、完全に団体戦。だからこそ、「いいね」 「コメント」 「引用」で伸ばし合える仲間を持ってる人が強いんです。絡んだ相手に絡み返され、拡散され、認知されていきます。これがあるかないかで、アカウントの伸び方は【天と地の差】はちょっといいすぎました😓。だから、遠慮してる場合じゃないんです。全力で絡んでいきましょう。ということは…笑↷（全員に返信していきます）

さすがに、フォローされてない人はごめんなさい( ;∀;)













",89,118,"7,219",2025/10/9 14:00:45,https://www.threads.com/@supisama_uranai/post/DPk3N36ElsD
,"断言しますが、専業主婦さんはもれなく全員、占いやってください。在宅でできるし、PCさえあれば無双できます。家事の合間やお子さんの世話の後、その“隙間時間”がそのまま“誰かのためになる時間”に変わります。これは趣味じゃなく、“新しい働き方”です。2026年もスピ系は必ず盛り上がります。今のうちに始めてください。3カ月後、あなたの世界は静かに、でも確実に変わってますよ。

「占いだけで生きたい人」はぜひ@supisama_uranai をフォローしてください。今後も価値ある情報を届け続けます。Threadsで1番占い・スピに詳しいアカウントを目指しています🐸









",4,115,"9,801",2025/8/6 22:00:31,https://www.threads.com/@supisama_uranai/post/DNA7PrIseCu
,"【狂信論】ついに公開しました。

スレッズ占い×ビジ垢の2軸運用について、解説しています。

「プチコンサル」や「今後伸びそうな世界観構築セット」、「GPTsの追加」、「VIP専用公式 L I N E 」など特典も配布します。
占い×ビジにおける2軸運用の最高峰を目指して、永久更新します。

詳しくはコメント欄からご覧下さい😚

























",68,111,"30,000",2025/10/24 20:03:55,https://www.threads.com/@supisama_uranai/post/DQMIs0LkgSt
,"ちなみに、占い・スピ系でもnoteは売れます🐸
放置してれば、勝手に売れますが、もうすこし力入れます🐸

「占いだけで生きたい人」はぜひ @supisama_uranai をフォローしてください。今後も価値ある情報を届け続けます。Threadsで1番占い・スピに詳しいアカウントを目指しています🐸





















",3,109,"11,000",2025/8/5 18:53:27,https://www.threads.com/@supisama_uranai/post/DM-BCsNyGFX
,"万垢一つももってないよ。って方いいねしてください。今後の無料noteの参考にしたいです🐸





",0,104,"1,496",2025/9/2 14:00:37,https://www.threads.com/@supisama_uranai/post/DOFlygVjOWX
,"スレッズ占いだけで最低月50万つくりたいひと、どれくらいいますか？🐸





",5,102,"17,000",2025/9/16 12:45:46,https://www.threads.com/@supisama_uranai/post/DOpgWjFEuyU
,"スレッズ占いだけで最低月50万つくりたいひと、どれくらいいますか？🐸





",0,98,"15,000",2025/9/24 6:00:42,https://www.threads.com/@supisama_uranai/post/DO9YWs0iQcV
,"もうみんな寝てると思うのでこっそり聞いちゃいますが、万垢達成するまでに、どんな設計したか気になる人いますか？🐸
「いいね」が100いったら、公開しようかなと思ってます🐸🔮






",0,96,"1,395",2025/8/24 0:04:48,https://www.threads.com/@supisama_uranai/post/DNs6-2m5F0u
,"私の万垢がどれか知りたい人いますか？

いいね200超えたら、公開しようかな🐸🔮





",0,92,"13,000",2025/9/24 17:00:20,https://www.threads.com/@supisama_uranai/post/DO-j2CmjL3-
,"9月までに占い・スピ系で月100万をつくる最短ルート
❶占い・スピ系アカウントを5個用意する
❷スレッズで1日5〜10投稿×全垢
❸最初は無料鑑定→DM誘導で教育
❹実績ができたらストアーズ or noteにまとめて販売
❺リピーターは必ずリスト分けして別管理
❻「恋愛」 「仕事」 「家族」など悩み別にアカウント分け
❼最初から完璧を目指さず、量産→分析→改善
ぶっちゃけ、占い・スピ系は爆伸びしやすいです。悩みジャンル全部拾えるし、寄り添い要素も強い。9月までに結果出したいなら、

の流れだけやってください。迷ってる時間、もう追い抜かれてます。











",3,81,"3,041",2025/8/25 21:00:45,https://www.threads.com/@supisama_uranai/post/DNxvgoh0nD7
,"万垢一つももってないよ。って方いいねしてください。今後の無料noteの参考にしたいです🐸




",0,80,"12,000",2025/9/18 20:00:03,https://www.threads.com/@supisama_uranai/post/DOvbpCdjiW6
,"私の万垢がどれか知りたい人いますか？






",22,79,"20,000",2025/9/5 20:00:04,https://www.threads.com/@supisama_uranai/post/DON9TygCHny
