スクショ,投稿文,リプ,いいね,インプ,日時,URL
,"昨日マッチングアプリで年下犬系男子(千葉雄大似)とごはん行ってきました。
写真通り可愛くて、普通にドキドキ…。
私アニメ好きで、その話で盛りあがって鬼滅見に行くってなって(実は公開初日に1回観てる)、真っ先に脳裏をよぎったのは号泣不可避の数々な感動シーン。
これ大丈夫か？と思いつつ、一緒に観たかったから見に行ったものの無事に大号泣。
多分化粧も崩れまくってめっちゃブスだったと思うけど、それ見て泣き腫らした顔で「すごく良かった」って一緒に感動してくれた。
そして、帰り際に「今日すっごく楽しかった。またデート行こうね」って言ってくれてもう死にかけです。
また会ってくれるかな、私号泣してブスじゃなかったかな…。

これだけは言いたい、狛治…よくやったよお前は頑張った。幸せになってくれ。
【マチアプ体験談 】





",4,157,"210,000",2025/7/21 7:48:48,https://www.threads.com/@kana_konkatu/post/DMWNDnbT3aV
,"今からマッチングアプリではじめましての人とスタバいく！マジで終わったと思ったけどこんな対応で余計に楽しみになっちゃった😌
今度はうまくいったらいいな…


























",145,"3,703","510,000",2025/7/21 16:31:47,https://www.threads.com/@kana_konkatu/post/DMXI6BFhKWq
,"帰宅〜
今日はめちゃくちゃ楽しかったです！
いきなり遅刻しちゃって迷惑かけちゃったけど、神対応。マッチングアプリでこんなに気が合う人は久しぶりでした。

めちゃくちゃ優しくてカッコイイ方でした✨
全然怒んないし、ずっといいよいいよってめちゃ優しかったし、話しやすくて面白い方でした。
また遊びに行きたいな…。上手く行きますように🙏

皆様温かいコメントありがとうございます🙇🏻‍♀️‪‪
これからも上手くいくように奮闘します！
付き合えるかな〜😭😭😭

※スシローのGODIVAがクソ美味すぎました。
















",8,446,"340,000",2025/7/21 21:48:19,https://www.threads.com/@kana_konkatu/post/DMXtIW9hCdZ
,"ひえっ！？！？！？！？
どういう事だってばよ？？？？
私の投稿がトレンド1位の1番上に……？？
何かの間違いでは？
怖い怖い、私マッチングアプリでスタバデートしてきただけよ🥺





















",0,124,"320,000",2025/7/21 23:57:46,https://www.threads.com/@kana_konkatu/post/DMX78gvhnaS
,"ヤバい…バレてる…。
昨日のマッチングアプリ投稿見つかっちゃった🥺
ちょっと不穏な空気流れてる、どうしよ
勝手に出したのまずかったか…？


























",62,605,"410,000",2025/7/22 13:04:33,https://www.threads.com/@kana_konkatu/post/DMZV_G_Bt6A
,"終わった

ご意見ください😖



















































",61,"1,154","1,558,000",2025/7/22 20:04:47,https://www.threads.com/@kana_konkatu/post/DMaGE_7ByA-
,"電話で話し合った結果、別れる事になりました(付き合ってた訳じゃない、結構いい感じだったけど)。

今回の原因は完全に私にあります。
生半可な気持ちで、マチアプ日記投稿しちゃってそれが大勢の方に見られてしまって結果的に彼の目に止まる事になりました。

昨日はすっごくいい感じで、めちゃくちゃ楽しかったのにこんな結果になってほんとに後悔しかないです。
自業自得、私バカすぎ。罵ってください。

こんな出会い中々ないのに…涙止まりません。
また1から頑張ります。見守ってくれた方々ごめんなさい。





全部私が悪いので何でも好きなように言ってください

























",55,360,"380,000",2025/7/22 21:40:51,https://www.threads.com/@kana_konkatu/post/DMaREnoBz7y
,"おはようございます☀️
昨日は醜態を晒してしまい申し訳ございません。
コメント全て見させてもらってます。

皆さんの意見、全部仰る通りだなってすごく響いてます。やはり、最初の投稿から多くの方に見られ自分の事しか考えずこの先も投稿していこうと思ってしまった私が全て悪いです。

昨日出したLINEの投稿でわんちゃんあるんじゃない？
と言ってくれる方がちらほらいましたが、
マッチングアプリの彼とはお電話で話して区切りを付けることになりました。

今回の敗因は完全に私です。
これからもどんどん正直な意見を伝えて欲しいです。
見守ってくれた方々、本当にごめんなさい
そして、ありがとうございました。

次なる出会いを求めて、今日もマッチングアプリを彷徨います……。こんな私だけどいつか結婚できるのかな、





",11,145,"240,000",2025/7/23 8:33:44,https://www.threads.com/@kana_konkatu/post/DMbbyaBhkWi
,"今日は仕事終わりにマッチングアプリで出会った年下犬系男子(千葉雄大似)とスシローに行く事になりました。
頑張ります。





",10,113,"170,000",2025/7/23 14:46:56,https://www.threads.com/@kana_konkatu/post/DMcGfyQhdoX
,"今からマッチングアプリで出会った千葉雄大似の彼(2回目)とスシロー行く！会う前なのにこんなに楽しいのなに……
こんどこそ上手く行きますように🙏

※今回はちゃんとLINEの許可取ってます


























",6,115,"140,000",2025/7/23 19:18:49,https://www.threads.com/@kana_konkatu/post/DMclnNch0sH
