スクショ,投稿文,リプ,いいね,インプ,日時,URL
,"スタバで高校生カップルが

『石川で苦しんでる人がいるのに。こんな普通にしてていいのかな』

という彼女に対して。

彼氏さんが

『誰かが不幸だからって。君が幸せになってはいけない理由にはならないよ。でも君のそういうとこ凄く素敵だと思うよ』

って諭してた。

マジで、これは惚れるよね。

男性をカンタンに、自由自在に沼らせられると
「別れても平気、新しい出会いはすぐに見つかるから」
って思考になれるから、マジでオススメ。
心理学の知識と女性の魅力を上手に組み合わせれば、見た目に自信がなくても誰にでもできるようになる。
コレ試してみて
↓
https://note.com/akirenai7777/n/n1f2e0ba2d105 





























",1,"1,192","2,561,000",2024/2/14 21:00:23,https://www.threads.com/@asuokd123/post/C3U75sQP5va
,"母が「ごめん！！今日の夕飯、スーパーの半額弁当🙏」

とLINEしたら

「半額だし作る手間省けるし洗い物少なくて済むし、むしろ最高なんだが」

って父が返信

「あなたと結婚して良かったわ。今すぐ抱きつきたいから早く帰って来て」

って返信した母の元にダッシュで帰る父が

最強で最高の夫婦すぎる

沼らせからドロ沼へ導く】
男性をただ沼らせるのではなく
依存させてるとヤバイことに
・終わらないLINE
・絶え間ない電話の呼び出し
・絶えない「好き」の言葉
・会いたがる頻度の増加
・夜の関係の激増
・どこへでも追いかけてくる
本当に心から愛する人にだけ使おう
↓
https://note.com/akirenai7777/n/nfbafa1e32ba4 



























",7,"1,700","1,368,000",2024/2/17 14:27:53,https://www.threads.com/@asuokd123/post/C3b9XmIPaXq
,"エマ・ワトソンのこれにクッソ共感

「ありきたりかもしれないけれど、自分自身を心から愛せるようになるまでは、間違えた人を愛してしまうと思う。」

男性をあなた「だけ」に惚れさせ依存させると、
「別れても平気、新しい出会いはすぐに見つかるから」
って思考になれるから、マジでオススメ。
心理学の知識と女性の魅力を上手に組み合わせれば、
見た目に自信がなくても誰にでもできるようになる。
コレ試してみて
↓

https://note.com/akirenai7777/n/n1f2e0ba2d105 











































",2,"1,379","250,000",2024/2/25 9:25:52,https://www.threads.com/@asuokd123/post/C3wBKdWv74T
,"これメンヘラ全員に伝えたい。

マリリン・モンローが言ってた

「私は、わがままでせっかちで少し不安定。
ミスを犯すし、自分をコントロールできない
ときもあれば、扱いにくいときもある。
でも、もしあなたが私の最悪の時にきちんと
扱ってくれないなら、私の最高の瞬間を
一緒に過ごす資格はない。」って考え方が最強。

「メンタルが安定しない時に寄り添って
くれないなら一緒にいようと思わない」
そのくらい強気のメンタルでいて。ガチで。

私たちみんなで最強に愛されるぞ。
ガチで愛される方法は固定投稿読んでみて。ガチで！

【沼らせからドロ沼へ導く】
男性をただ沼らせるのではなく
依存させてるとヤバイことに
・終わらないLINE
・絶え間ない電話の呼び出し
・絶えない「好き」の言葉
・会いたがる頻度の増加
・夜の関係の激増
・どこへでも追いかけてくる
本当に心から愛する人にだけ使おう
↓


https://note.com/akirenai7777/n/nfbafa1e32ba4 

























",9,"2,587","1,264,000",2024/2/25 9:40:06,https://www.threads.com/@asuokd123/post/C3wCywFvlkA
,"No.1のキャバ嬢が言ってた。
自己肯定感最強な女は、

・嫌われた→「縁がなかった」
・失恋した→「人として成長できた」
・振られた→「新しく出会える」
・寂しくて孤独→「自分磨きする」
・振り回された→「反面教師にする」
・傷つけられた→「人の痛みが分かった」
・大切にされない→「手放すチャンス」

こういうふうに変換する。

男性をカンタンに、自由自在に沼らせられると
「別れても平気、新しい出会いはすぐに見つかるから」
って思考になれるから、マジでオススメ。
心理学の知識と女性の魅力を上手に組み合わせれば、見た目に自信がなくても誰にでもできるようになる。
コレ試してみて
↓

https://note.com/akirenai7777/n/n1f2e0ba2d105 






























",3,"1,262","1,609,000",2024/3/2 20:33:13,https://www.threads.com/@asuokd123/post/C4AqTofBmW-
,"母の教えが
めっちゃ勉強になった

男性をあなた「だけ」に惚れさせ依存させると、
「別れても平気、新しい出会いはすぐに見つかるから」
って思考になれるから、マジでオススメ。
心理学の知識と女性の魅力を上手に組み合わせれば、
見た目に自信がなくても誰にでもできるようになる。
コレ試してみて
↓
https://note.com/akirenai7777/n/n50dc4cb5e1bc 




男性をあなた「だけ」に惚れさせ依存させると、
「別れても平気、新しい出会いはすぐに見つかるから」
って思考になれるから、マジでオススメ。
心理学の知識と女性の魅力を上手に組み合わせれば、
見た目に自信がなくても誰にでもできるようになる。
コレ試してみて
↓
https://note.com/akirenai7777/n/n1f2e0ba2d105 











































































",12,"1,172","30,000",2024/3/2 22:09:26,https://www.threads.com/@asuokd123/post/C4A1URkBLlY
,"涙が止まりません。

実は男を沼らせると最高に至福
「マジでとんでもないことになる」
・鳴り止まないLINE通知
・何度も「会いたい」「好き」と言われ
・毎日のように夜の営みに誘われ
・浮気も心配の0
・不安はなくなる最高の恋愛に、、
マジで全員、沼らせ恋愛すべき！！！
やり方はコレ
↓

https://note.com/akirenai7777/n/nfbafa1e32ba4 











































",8,"1,222","100,000",2024/3/8 21:46:18,https://www.threads.com/@asuokd123/post/C4QPcHtviyM
,"夏木マリさんが言ってた言葉が
マジで深すぎる。

""男は一晩連れて歩きたい女をいい女と言う。女は一生連れて歩く男をいい男って言うんですよ""

【沼らせからドロ沼へ導く】
男性をただ沼らせるのではなく
依存させてるとヤバイことに
・終わらないLINE
・絶え間ない電話の呼び出し
・絶えない「好き」の言葉
・会いたがる頻度の増加
・夜の関係の激増
・どこへでも追いかけてくる
本当に心から愛する人にだけ使おう
↓

https://note.com/akirenai7777/n/nfbafa1e32ba4 































",7,"1,320","3,464,000",2024/3/9 19:34:49,https://www.threads.com/@asuokd123/post/C4SlL_sPqbj
,"母の教えが素敵すぎる件

男性をあなた「だけ」に惚れさせ依存させると、
「別れても平気、新しい出会いはすぐに見つかるから」
って思考になれるから、マジでオススメ。
心理学の知識と女性の魅力を上手に組み合わせれば、
見た目に自信がなくても誰にでもできるようになる。
コレ試してみて
↓
https://note.com/akirenai7777/n/n1f2e0ba2d105 








































",2,"1,111","30,000",2024/3/12 20:29:22,https://www.threads.com/@asuokd123/post/C4aZ0KyvPpV
,"マジでコレ

実は男を沼らせると最高に至福
「マジでとんでもないことになる」
・鳴り止まないLINE通知
・何度も「会いたい」「好き」と言われ
・毎日のように夜の営みに誘われ
・浮気も心配の0
・不安はなくなる最高の恋愛に、、
マジで全員、沼らせ恋愛すべき！！！
やり方は、
↓
https://note.com/akirenai7777/n/nfbafa1e32ba4 












































",9,"1,773","35,000",2024/3/21 21:40:42,https://www.threads.com/@asuokd123/post/C4xtIiFPwHr
,"本当にコレ

追われる恋は
マジで幸せがいっぱい
・毎日「会いたい」と言われる
・「早く結婚しよう」とプロポーズ
・「好きだよ」の言葉が日常
・わがままも聞いてくれる
・サプライズしてもらえる
・友達に誇らしげに紹介
「可愛い」と褒められ続ける
これだけのメリットがあるなら、
しないと損。
詳細↓
https://note.com/akirenai7777/n/nfbafa1e32ba4 











































",11,"1,730","39,000",2024/3/22 12:37:25,https://www.threads.com/@asuokd123/post/C4zTwPPP_uG
,"顔が似てると話題だったので
入れ替えてみました

バズったので自己紹介
・男を沼らせ依存させる恋愛心理の専門家
・1000人以上の恋愛相談実績
・今までに1000人以上の恋を実らせる
・好きな人を意のままに操り好きにさせるテクを発信
・毎日恋愛テク、悩み解決テクを発信中
・恋愛で悩みがある人はフォロー必須
ここでは出せない
ヤバい恋愛心理テクはこちらをどうぞ
↓
https://note.com/akirenai7777/n/n1f2e0ba2d105 











































",20,"1,309","350,000",2024/3/27 9:40:42,https://www.threads.com/@asuokd123/post/C4_3gOjy8Vw
,"嗅いだ者を沼らせる無敵香水まとめ。

ちなみに全部ユニセックスだよ

バズったので自己紹介！
追われる恋をカンタンにする沼らせ依存テクを発信中！
とりあえず、こちらをどうぞ？
追われる恋は
マジで幸せがいっぱい
・毎日「会いたい」と言われる
・「早く結婚しよう」とプロポーズ
・「好きだよ」の言葉が日常
・わがままも聞いてくれる
・サプライズしてもらえる
・友達に誇らしげに紹介
「可愛い」と褒められ続ける
これだけのメリットがあるなら、
しないと損。
詳細↓
https://note.com/akirenai7777/n/nfbafa1e32ba4 





































",1,"1,508","32,000",2024/4/3 19:20:41,https://www.threads.com/@asuokd123/post/C5S7cT2P8Oi
,"【全男性にお願い】
あのね、女性を代表して言わせてもらうけど、
男性に「は？」って言われるのって
想像以上に怖いのよ。だから代わりに
「にょ？」とか「ぽ？」にして欲しい。お願いします。

男を沼らせ
あなただけに惚れさせ依存させられる女は
「恋愛心理✖️沼らせ」
の知識を自分からとりに行く。
知ってるだけでカンタンに男が好きになるんだから
笑いが止まらなくなる
やり方はコレ ↓
https://note.com/akirenai7777/n/naa681e89c198 
　































",31,"1,108","150,000",2024/5/7 9:45:19,https://www.threads.com/@asuokd123/post/C6pcn_hPVUK
,"「メンタルが安定してる女がいい」とよく言うけど、それは付き合ってる男次第だということを忘れてはいけない。

実は男を沼らせると最高に至福
「マジでとんでもないことになる」
・鳴り止まないLINE通知
・何度も「会いたい」「好き」と言われ
・毎日のように夜の営みに誘われ
・浮気も心配の0
・不安はなくなる最高の恋愛に、、
マジで全員、沼らせ恋愛すべき！！！
やり方は、
⇩
https://note.com/akirenai7777/n/naa681e89c198 
































",33,"1,461","20,000",2024/5/7 19:37:48,https://www.threads.com/@asuokd123/post/C6qgbeCvYK-
,"岸辺露伴(高橋一生)のコレ。

ガチでその通り。

【沼らせからドロ沼へ導く】
男性をただ沼らせるのではなく
依存させてるとヤバイことに
・終わらないLINE
・絶え間ない電話の呼び出し
・絶えない「好き」の言葉
・会いたがる頻度の増加
・夜の関係の激増
・どこへでも追いかけてくる
本当に心から愛する人にだけ使おう
⇩
https://note.com/akirenai7777/n/nfbafa1e32ba4 









































",3,"1,679","260,000",2024/5/17 21:41:38,https://www.threads.com/@asuokd123/post/C7EejNgvfhH
,"夏木マリさんが言葉
ガチで深い。

""男は一晩連れて歩きたい女をいい女と言う。女は一生連れて歩く男をいい男って言うんですよ""

完全無料
LINEで好きな人を自動的に沼らせる方法
↓
https://note.com/akirenai7777/n/n74a2d3dc5697 
















































",2,"1,108","95,000",2024/5/22 12:38:58,https://www.threads.com/@asuokd123/post/C7QYa8IvElW
,"【ガッキー】のこれ。ガチ。

実は男をドロ沼に沼らせる10のテク
1. さりげなくボディタッチ
2. LINEでは絵文字を控える
3. 大げさに反応する
4. 二人だけの秘密を共有
5. 常に笑顔でいる
6. ギャップを見せる
7. 相手の話を聞いて褒める
8. 共通点を見つける
9. 目を合わせる
10. 自立している
詳細
↓
https://note.com/akirenai7777/m/m64e4239896e7 










































",3,"1,308","200,000",2024/5/29 9:45:55,https://www.threads.com/@asuokd123/post/C7iGLoJvPUq
,"昔彼女とディズニーランド行った時に
プリンセスコスした小さい女の子がいて
すれ違い様にぶつかった男子高校生が
「おい、プリンセスにぶつかったぞ」と仲間に言われて「あーもう！」と言いつつ「お怪我はありませんか、お姫様」って跪いてその女の子顔真っ赤で大喜びしてた。可愛いすぎたし、素晴らしい魔法だった。

【悪女の究極の男を沼らせるテクニック】
男を確実に沼らせるには、
男性心理を深く理解し、心理学を駆使する必要がある。
本当に好きな人を虜にして、最高の幸せを掴もう！
私が実際に使っている沼らせテクニックを公開中。
これを試して、幸せを手に入れよう！
↓
https://note.com/akirenai7777/n/naa681e89c198 































",8,"4,265","82,000",2024/6/5 19:51:19,https://www.threads.com/@asuokd123/post/C71NB1DvliQ
,"『私がおばさんになっても』って歌ってた本人が
一向に歳をとらなくて、旦那様の江口洋介さんと
今もこんなステキにデートしてる、、、
もう憧れしかない

【取り扱い注意】好きな相手をあなたに沼らせ依存させる方法【完全無料】
⇩
https://note.com/akirenai7777/n/n50dc4cb5e1bc 

















































",6,"1,441","1,044,000",2024/6/6 9:43:09,https://www.threads.com/@asuokd123/post/C72sOWpP6Bj
,"ガチで病んでる人は
吉高由里子のこのメンタルを

見習ってみて。

言われたことだけやる。

男性をカンタンに、自由自在に沼らせられると
「別れても平気、新しい出会いはすぐに見つかるから」
って思考になれるから、マジでオススメ。
心理学の知識と女性の魅力を上手に組み合わせれば、見た目に自信がなくても誰にでもできるようになる。
コレ試してみて
↓
https://note.com/akirenai7777/n/n1f2e0ba2d105 










































",6,"1,491","470,000",2024/6/15 12:57:33,https://www.threads.com/@asuokd123/post/C8ONnL7PAVo
,"杉咲花ちゃんがクランクアップのコメントで「心をすり減らしたり、はらわたが煮え繰り返るような経験をしなくても人は学べるし、成長できる」と言っていたのがじんわり心に沁みる。彼女の言葉にはハッとされることが多くて、演技力はもちろんだけどそもそもの人間力が高い人だなあと思う

実は男を沼らせると最高に至福
「マジでとんでもないことになる」
・鳴り止まないLINE通知
・何度も「会いたい」「好き」と言われ
・毎日のように夜の営みに誘われ
・浮気も心配の0
・不安はなくなる最高の恋愛に、、
マジで全員、沼らせ恋愛すべき！！！
やり方は、、
⇩
https://note.com/akirenai7777/n/nfbafa1e32ba4 






























",1,"1,723","45,000",2024/6/26 10:20:42,https://www.threads.com/@asuokd123/post/C8qQa4NPvQz
