スクショ,投稿文,リプ,いいね,インプ,日時,URL
,"回避型彼にハマってひたすら病んできたけど
接し方が少しずつ見えきてから彼の態度激変したんだよなぁ。
回避って気分屋だよね。







",0,35,"3,662",2025/8/3 10:17:51,https://www.threads.com/@mochi__2819/post/DM38crWBE64
,"回避型の彼と最初は曖昧な関係からスタート。
付き合うまでに一年半、付き合ってから別れるまで半年、そこから一年かけて復縁して、去年プロポーズ。こう見ると長かったな。もっと早く“回避”って言う言葉を知っていればよかったと心底思う。
で、この界隈の回避型の接し方について、え？違う…が多すぎる気が。





",2,61,"7,404",2025/8/3 10:21:32,https://www.threads.com/@mochi__2819/post/DM383oPBfqt
,"努力する女は美しいし丁寧に扱われる。
怠惰な女は周りからも適当に扱われる。
あなたがどう自分を扱うか、どんな姿で彼に接していくか。それが復縁や良い恋愛する上で絶対的に必要。
そして、「回避型」にはマジで正しいアプローチしないとこの界隈に落ちてるのを拾いながら実践しても砕けるだけ。
テクニックは全てここに落としてく。
たった1日何十円の投資もできないなら当然リターンなんて無いよね。
本気になってみようよ、愛されたい人に愛された時、人生変わるよ。フォローしておいてね。






",0,10,"2,476",2025/8/3 12:02:41,https://www.threads.com/@mochi__2819/post/DM4IcfUPwe5
,"この界隈の回避型ってイコール男だろって思う。
男は恋人関係においてめんどくさいことあるとすぐシャットダウンするし、音信不通もあたりまえ。
でも、その音信不通って当時私が思ってたことと全く正反対のことを思ってた。
マジで、拗らせてるのは彼の方説濃厚だよ。






",1,26,"5,123",2025/8/3 15:19:50,https://www.threads.com/@mochi__2819/post/DM4fAYJPGD1
,"回避型って、単に追いかけられたいだけってパターンめちゃくちゃ多いよ。
見分け方についてつぶやくね。






",3,74,"17,000",2025/8/3 16:29:32,https://www.threads.com/@mochi__2819/post/DM4m-7RPtrv
,"結局、回避型が、あぁ手放すんじゃなかったって思う時は、あなたが自立した時でも他の男を匂わせたりしたことでもなくて、彼に対して責めたりしなかった事を思い出す時なんだよね。
感情ぶつけるのも大事だけど、それ回避と逆のことやってるだけで、ほぼ同じ事を互いがやりたいようにやってるだけなんだよね。





",0,28,"3,816",2025/8/3 19:42:46,https://www.threads.com/@mochi__2819/post/DM49GJbvGnI
,"彼が“回避型”と知ってから、とにかくノウハウめちゃくちゃ集めまくった。
その中で、知ったことは👇

・実は追われたい生き物
・素っ気なくなるのは試し行動
・冷たい言葉は“敢えて”言っている

これらに、効くのは普通の回避さんへのアプローチじゃない。もっと複雑に組み合わせたものだった。言語化してパターン別に書き起こしてます📝














",2,16,"3,432",2025/8/3 19:46:31,https://www.threads.com/@mochi__2819/post/DM49hqhPzE5
,"回避型彼と復縁してプロポーズまで至ったけど、
何が変わったからうまくいくようになったかっていうと、100%私の精神が安定したから。
安定するためにやったことは、

・とりあえず寝る
・回避型のことをとことん調べる
・結局私はうまくいくと毎日言う
なんか最後スピってるけどこれは本当に効果絶大。回避型には、巷の“自分磨き”なんて通用しないどころか逆効果。
綺麗になったり雰囲気変えると、“もう俺じゃなくて良いよね”とかで3ヶ月はシャットダウンされる。本物の回避型と対峙した私だから言える。
努力の方向、99%の人が間違えてる。












",1,51,"7,221",2025/8/3 20:37:22,https://www.threads.com/@mochi__2819/post/DM5DWKHPTeE
,"回避型の、「追いかけられたい欲」がある人の見分け方は、連絡の頻度がひっくいんだけど、会ったらいつも通りって人。
あと2パターンあるけど、需要ある…？
あったらつぶやく。







",1,124,"14,000",2025/8/4 8:58:25,https://www.threads.com/@mochi__2819/post/DM6YJsnBdyQ
,"よく、回避型って幼少期の親からの愛情不足が原因ってあったけど、本当に愛着障害の人以外はそんなことない。
プロポーズ後に初めて彼の実家に行ったけど明らかに愛情注がれてるってわかるほどだったから。

本物の回避型とエセ回避型を見誤るとアプローチが180度変わる。で、殆ど（私も含む）の人がアプローチ真逆のことしてる。そりゃ復縁できないよね。










",1,26,"5,897",2025/8/4 9:09:25,https://www.threads.com/@mochi__2819/post/DM6ZaTPUIfk
,"みんないいねありがとう🥹
回避型の「実は追いかけられたい側の人の特徴」
のあと二つは、

一定の距離は保とうとしてくる人。
連絡は完全に断たない、ぶっきらぼうでも返信はする、とかだね。
あとは、敢えて“感情を揺さぶってくる”時。
この最後のタイプが最も厄介で、俗に言う「メンヘラ製造機」
でも実はこのメンヘラ製造機男が後に1番溺愛してくる奴になったりもする😇












",2,32,"6,249",2025/8/4 18:12:52,https://www.threads.com/@mochi__2819/post/DM7XmlPvabR
