スクショ,投稿文,リプ,いいね,インプ,日時,URL
,"正直、クズな男が本気になると、
いちばん面倒くさい。
　
都合のいい関係に慣れすぎて、
感情の扱い方がわからない。
　
独占欲が出るくせに、

自分の立場を考えて何も言えない。
連絡が来ないと不安なくせに、
自分からは素直に求められない。
遊び慣れてる男ほど、
本気になると不器用になるのは、
“遊び”ではコントロールできてたものが
できなくなるから。
相手の一言や沈黙ひとつで、
自信も余裕も簡単に崩れる。
本気の不器用は、
ただの誠実ともまた違う。
めんどくさいけど、
それだけ揺さぶられてるってこと。













",7,118,"15,000",2025/12/9 21:00:20,https://www.threads.com/@sakuma_mind/post/DSCruUCjqPa
,"ぶっちゃけ、
「会いたい」って言われるより、
「もう会わないほうがいいね」って言われたほうが、気になる。
　
会いたいって言われると、
安心するし、調子に乗る。
まだ俺に気持ちあるんだなって、余裕になる。
　
でも、スッと引かれると、
急にその人の温度がわからなくなって、
確認したくなる。

「ほんとにもう会う気ないの？」
「誰か他にいるの？」
　
男って、失うかもしれない瞬間に
やっと本音に気づくことがある。
　
だから時々は、
手放すフリも、効く。






",0,30,"2,477",2025/12/10 12:00:25,https://www.threads.com/@sakuma_mind/post/DSESusIEv-6
,"クズはクズなりに、
ちゃんと葛藤してる。
　
奥さんがいるのに、
他の女性を好きになってしまったこと。
幸せにすると言ったのに、
誰かを裏切ってること。
　
ほんとは、

自分でも最低やって思ってる。
でも、好きになった気持ちだけは、
どうにもできなかった。
「会うのやめよう」って言われたら、止められない。
「もう連絡しない」って言われたら、受け入れるしかない。
でも本音を言えば、
ずっとそばにいてほしい。
クズなりに、
一人の男としては、本気だったりする。













",14,36,"7,190",2025/12/10 20:00:42,https://www.threads.com/@sakuma_mind/post/DSFJsaID1Z6
,"残念なことに、
男はセフレと本命で、本当に違う動きをする。
　
セフレには「空いてる日」で会う。
でも本命には、仕事をずらしてでも時間をつくる。
　
セフレには

「また連絡するね」で終わるけど、
本命には「次はいつ会える？」って自分から聞いてる。
これ、俺が実際そうだった。
最初は軽い関係のつもりで始まったのに、
3人目の彼女とだけは、会うたびに心が引っ張られていって。
ふとした一言とか、
手を繋いでるときの沈黙とか、
身体じゃなく“心”に触れてる感じがして、
気づいたら会いたい理由が変わってた。
女性は「彼は私をどう見てるんだろう？」
って不安になるけど、
男は意外とシンプルで、無意識の態度に出てる。
もうバレてるくらい出てる。
この違い、ちゃんと知ってるだけで
今の関係が“続くもの”なのか、“終わるもの”なのかはっきりする。
https://note.com/sakuma_maind/n/na70db4935b63 





















",1,56,"23,000",2025/12/11 23:47:09,https://www.threads.com/@sakuma_mind/post/DSIIZ5_kjOx
,"“セフレを切るときに優しくなる男”ほど、
腹黒い。
愛情じゃない。
ただの罪悪感と、保身と、弱さ。
　
本当にあなたを想ってる男は、
中途半端に繋がろうとしない。
ちゃんと向き合うか、
潔く離れるか、どっちかだけ。






",0,17,"1,365",2025/12/12 7:00:09,https://www.threads.com/@sakuma_mind/post/DSI59R2kjgh
,"会わない方がいいって分かってるのに、
会ったら安心する相手がいる人。
それが一番厄介。
　
そう思いませんか？
　
おはよう





",0,6,480,2025/12/13 6:59:27,https://www.threads.com/@sakuma_mind/post/DSLeq8mkwNV
,"失う前に掴めたらいいけど、
男って、
失ってからじゃないと気づかない。
　
本気の女ほど、
当たり前にそばにいると思い込んで、
雑にしてしまう。
　
気づいたときには、
もう遅いことが多い。






",0,4,523,2025/12/13 14:00:19,https://www.threads.com/@sakuma_mind/post/DSMO1iVDo_I
,"始まりは、妻への仕返しみたいなものだった。
　
浮気を知ったとき、
怒りよりも、虚しさのほうが強かった。
「なんで俺じゃ、ダメだったんだろ」って。
　
でも、彼女と出会ってからは、

ただの埋め合わせじゃ済まなくなった。
優しくされるたびに、
俺のほうが癒されていって、
気づけば、仕返しどころか
“戻る場所”になってた。
心って、不思議。
奪い返すために始めた関係で、
俺のほうが救われてた。











",1,4,852,2025/12/13 18:00:16,https://www.threads.com/@sakuma_mind/post/DSMqS_0jrAF
,"婚外恋愛が続く女性って、
「寂しさを、誰にも言えない形で埋めてる」。
　
• 家では“ちゃんとした妻”を演じて
• 誰にもバレないように感情を隠して
• ほんの少しの優しさに、

全てをかけてしまう
「やめなきゃ」と思いながら、
“本音を言える場所”がそこにしかない。
悪いってわかってる。でも…
“心が満たされる方”に、どうしても傾いてしまう。











",2,10,"2,617",2025/12/14 0:00:25,https://www.threads.com/@sakuma_mind/post/DSNTgwjEuOR
,"男が関係を続けたくなる相手って、
最初のドキドキより、

“後に残る安心感”。
• 会話がなくても落ち着く
• 会えない日も信じられる
• 気を使わなくていい
ただ、そばにいるだけで救われる。
“恋”じゃなくて、“居場所”になったとき、
関係って、なかなか終わらなくなる。












",2,17,"5,076",2025/12/14 6:00:14,https://www.threads.com/@sakuma_mind/post/DSN8sLQgmPI
