スクショ,投稿文,リプ,いいね,インプ,日時,URL
,"あ






",0,5,"9,931",2025/3/21 21:20:01,https://www.threads.net/@yuka0960/post/DHdg6TgTgFf
ポストが削除されていました,え、これ見えてる？？,3,15,,2025/3/21 21:55:25,https://www.threads.net/@yuka0960/post/DHdk9m8zoU2
ポストが削除されていました,復活〜,0,5,,2025/3/22 15:38:16,https://www.threads.net/@yuka0960/post/DHfemJ6z03x
,"世の歯医者の9割はハズレ。詐欺、医療ミス、たくさんあります😭中の人としてもう見ていられなくなったので、歯科衛生士、動きます🫡






",118,"1,041","83,300",2025/3/22 15:40:52,https://www.threads.net/@yuka0960/post/DHfe5M7zwYW
ポストが削除されていました,やっぱスレッズ反応多くて最高。どしどし絡んでほしい🥹,3,24,,2025/3/22 17:26:11,https://www.threads.net/@yuka0960/post/DHfq8l5zTYl
,"みんな、歯医者どうやって選んでる？
間違えても「歯医者　おすすめランキング　○○市」とかで絶対選んじゃダメ😭
あれ、金払って掲載されてるだけだから😭
じゃあどうやって選べばいいか？歯科業界で働く友達に聞く！これが1番。
歯科業界に友達いないよ〜、、
大丈夫。私がいる😉







",16,209,"21,561",2025/3/22 17:30:28,https://www.threads.net/@yuka0960/post/DHfrb5OzeeI
,"スレッズ反応多いから助かる🥹
歯医者に通う全ての人へ。
遅刻や無断欠勤をしちゃうと、次回の予約が取りづらくなります！（うちの歯医者の場合）
歯医者もビジネス。患者さん1人1人の診療時間が分単位で決まってます。計画が狂っちゃうと売上に響くというわけです😉
3日前、前日、最悪当日の朝でも連絡くれると、こちとら死ぬほど助かります🫡








",0,144,"16,503",2025/3/22 19:11:18,https://www.threads.net/@yuka0960/post/DHf2-iFzXJ0
ポストが削除されていました,"細々と発信していこうと思ったけど、思ったより反響あって正直ビビってる😂
やっぱそうだよなー！みんなそう思ってるよなー！って生の声を聞けてよかった😉
さて、どーやって発信してこっかなぁ〜😭
なんかnoteがいいとか何とか。note書いたらみんな見てくれる？😳",2,43,,2025/3/23 16:10:45,https://www.threads.net/@yuka0960/post/DHiHG_gzwyZ
,"恋多き女性陣、男は『歯』で見極めろ😏

歯のケアができない男に将来性はない😭
逆に歯がきちんとケアされてる男は女のケアも家庭のケアもうまくやる😉

良いなと思っている男の『歯』を見た後に
どんな歯だったか私に報告して（なんで）





",0,64,"13,799",2025/3/23 20:36:35,https://www.threads.net/@yuka0960/post/DHilh7sTQ6b
,"【歯医者選びは美容室選びと一緒】

今通ってる行きつけの美容室、何回で決めた？

・とりあえず良さげなところ3軒回って決めた
・いまだに見つからず初回クーポン使って手当たり次第行ってる

皆さん「何件か」試して決めてますよね😉

じゃあ歯医者は？
初診を転々としてますか？？しませんよね
違和感を感じたら別のところに行くべきです

でも、そもそも知識も無いし良し悪しも判断できない。

私をフォローしてれば初診で判断できるようになります😉





",4,46,"16,402",2025/3/24 10:09:41,https://www.threads.net/@yuka0960/post/DHkClWezm_U
,"その歯医者を選択したのはあなたです。

・ちょっとずつ進め何回も通わされてる気がする
・何回行っても良くならない。むしろ悪化。
・行くたびに高額治療営業。うんざり😭

こっちはお金払ってわざわざ行ってるんだぞ😤
わかります。でも一言言わせて。

『歯医者変えたらええやん😳』

なんでその歯医者に通い続けてんの？
歯医者選びがわからない？
そういうことなら任せて😉






",5,67,"18,052",2025/3/24 21:05:57,https://www.threads.net/@yuka0960/post/DHlNr7zzdpg
,"子育て世代の皆さんへ

お子さんの歯、気にかけてますか？😉
虫歯治療はもちろん、余裕があればぜひ矯正をさせてあげてください。

歯並びが悪いまま放置するとリスクいっぱい😭
☑︎歯が磨きづらく、虫歯や歯周病になりやすい
☑︎コンプレックスで笑えない
☑︎顔の歪みや慢性的な頭痛や肩こり

見た目だけじゃない、歯並びはその子の人生を左右する。子どもの歯の健康は親の責任。
時間やお金はかかっちゃうけど、大人になった時、必ず感謝される瞬間が来るから😉







",3,71,"19,585",2025/3/25 17:48:05,https://www.threads.net/@yuka0960/post/DHnb1lfTIPL
,"なんかこいつ概念的なことしか言わなくね？
9割ハズレとか大口叩いてたけどどした？？

ごめんみんな、結構反響あったからビビった😭

じゃあここら辺で一発！😏
ハズレない歯医者の選び方を紹介！

ズバリ、気になる歯医者の『求人』を見ろ。

え、どゆこと？
反応多かったら詳細に解説します😉





",2,76,"22,913",2025/3/25 20:27:20,https://www.threads.net/@yuka0960/post/DHnuECkzIuD
,"反響あったので詳細書きますね。
有料級の内容だからあまり広めないで（広めて）
その歯医者の『求人』状況でハズレ医院を回避できます。

結論、ずっと求人が出てるところはやめておけ😇

お客さん目線で、腕がいい、対応が素晴らしい、いわゆる「当たり歯医者」はスタッフが「定着」しています。
職場環境や待遇が良かったり、院長の腕や治療方針に賛同できたりと理由は様々ですが、人が辞めません。すると滅多に求人が出ません😉

一方、ハズレ歯医者はずっと求人が出てます😭
それにはちゃんと理由があります。
・職場環境が悪い
・院長の人柄や腕が悪い
・治療方針に納得できない
・待遇が悪い

人が定着しません。皆さんの通ってる歯医者、
毎回違うスタッフが出てきませんか？🙄

スタッフが定着しない歯医者が良い治療できると思いますか？😇

・どの求人サイトを見るべきか？
・求人情報の見方や注意する項目
等、誰でもすぐに判断できる基準はいくつかあります。

長くなるので続きはnoteで書きますね😉
フォローして待っててください😉







",5,180,"26,712",2025/3/26 18:44:13,https://www.threads.net/@yuka0960/post/DHqHDmtznsS
,"親が子どもに残せるもの

お金？土地？学歴？
それも確かにそう。

でも『歯』を推したい。
お金や土地、学歴は後からなんとでもなる。
でも歯は一度削ったら戻らないし、神経抜いたらそれっきり。






",2,130,"27,942",2025/3/27 7:56:30,https://www.threads.net/@yuka0960/post/DHrhuhLziGD
ポストが削除されていました,"歯は消耗品。治したからって元に戻んねーよ？
虫歯なくなったイェーイじゃない。歯も削るたびなくなってんだよ。",1,69,,2025/3/27 23:00:28,https://www.threads.net/@yuka0960/post/DHtJLR3zywB
,"歯は「減点方式」
永久歯が生えそろった状態が100。
そっからは下がり続ける一方。今の歯を大切に守り抜くこと。この考え方が大事。

歯のライフ30くらいの私はもう諦めろって？
おっつ〜ドンマイ😉来世はちゃんとしようって？

いつからでも遅くない。決断は早い方がいい。
むやみやたらに歯を削ろうとしない歯医者さん探し、お手伝いしますよ😏






",1,158,"36,255",2025/3/28 12:26:44,https://www.threads.net/@yuka0960/post/DHulcmpznhx
,"今、ハズレない歯医者の選び方の完全版note書いてるんだけどエグいの完成しそう。

まだ半分くらいだけど文字数10000字突破😉
こんな字書いたの初めてだわ😳

途中経過で同僚衛生士に見せたら、これ世に出しちゃうの？潰れる歯医者出るで。ほんで刺されるでお前。って言われた😳

やめようかな？😭って思ったけどせっかく作ってるし、何かしらの限定公開にするわ😉

みんなからのフィードバックも貰えたら嬉しい。

見る？😳





",404,"8,318","529,470",2025/3/29 21:06:13,https://www.threads.net/@yuka0960/post/DHyFsSdTypz
ポストが削除されていました,"ちょ、ほんまに反響えぐいって😭
フォロワーさん7820！？
投稿緊張するって！！😂

こんなにたくさんの人が歯医者選びに悩んでるって知れてよかった

最高のnote作ってるから期待して待ってて😉（ハードル上げて自分追い込むスタイル）",16,"1,109",,2025/3/31 22:00:43,https://www.threads.net/@yuka0960/post/DH3VhN3z1xD
,"みんなごめん久しぶり🙇‍♀️
note大苦戦中😭
見切り発車で書き始めてめっちゃ後悔😭
長ったらしくつらつら書いても誰も読んでくれねぇなって気づいた終盤。全部消した。
この2つの軸でそれぞれポイント箇条書きスタイルに変更😏

【今の歯医者どうなの？】
・やめとけ歯医者の特徴10個
・当てはまったら当たり歯医者確定？特徴10個

【どうやってハズレを見分けるの？】
・行く前に分かるチェックポイント20選
・初診で分かるチェックポイント20選

あとちょっとだから🤏
ごめんもう少し待ってて🙇‍♀️






",11,588,"27,388",2025/4/5 21:31:20,https://www.threads.net/@yuka0960/post/DIEKIW_ztwC
