スクショ,投稿文,リプ,いいね,インプ,日時,URL
,"すみません、シミ治療に強い医師を私はあまり知りません...(周りが良くも悪くも形成外科医が多く🫩)ただ、皮膚科医に診ていただくのが1番良いです！シミの診断は、皮膚科医しか勝たんです。ハズレの確率が一気に下がります🫩















",2,340,"69,000",2025/10/12 22:30:40,https://www.threads.com/@biyou._.m/post/DPtf9LnkxGJ
,"ごめん、今夜は22時に「マニアック版【シミ治療ガイド】」の投稿する。「糸リフトの闇」は明日の夜する。【忖度なしの美容医療まとめ】作ってたら、こんな時間なってたんだ🫩 クリニックで働いて、投稿作って、まとめ記事も作って、、、社畜すぎるぞ私🫩 あ、1つだけ言っておくと、

また改めて告知するけど、【忖度なしの美容医療まとめ】の進捗とかは、インスタのストーリーズで上げていく予定。記事作ってる裏話とか興味ない人もいるだろうから、興味ある人にだけみて欲しいなと思ってwww
頑張って記事書くよーん🫩🫩🫩
応援の意味も込めてフォローしてな🫩🫩🫩
↓コレ！！！！！
https://www.instagram.com/biyou._.m/




























",6,654,"79,000",2025/10/13 20:30:29,https://www.threads.com/@biyou._.m/post/DPv2_2ME_tZ
,"ごめん、1投稿もできなかった。でも、私の投稿なくて寂しかった人っているのか🫩






",27,"1,270","54,000",2025/10/17 23:36:38,https://www.threads.com/@biyou._.m/post/DP6ferck67h
,"ごめん、ほうれい線の消し方②が、思ったよりまとめるの苦労してる🥺 もう少しで投稿できる。ちょっとだけ待ってね🥺






",0,565,"58,000",2025/10/19 23:24:56,https://www.threads.com/@biyou._.m/post/DP_nuzLEyXe
,"乾燥肌の人は、

・レチノイド使わない
・ポライト打つ(美容医療)
・肌育注射系やる(美容医療)
・毎日必ず入浴する
・刺激強い洗顔料を使わない
・油分が多いスキンケア商品使う

↑コレがオススメ🫩 私の友達も乾燥肌だけど、ポライト打って、少しは改善されたみたい(個人差あるから要検討)。あとはスキンケア。とにかく保湿。コレでかなり改善されるかなっっっ！

















",1,407,"35,000",2025/10/25 8:07:19,https://www.threads.com/@biyou._.m/post/DQNbfO6E8hw
,"ギリギリでごめん。1つ謝罪する。

【忖度なしの美容医療まとめ】と言ってたけど、通称改め【えむちゃん式美容医療】にする🫩「私ならこうする。」って内容を詰め込んだから、コッチの方が合ってる。80時間以上かけて合計5万文字超えの集大成になった🫩 今後も追記していく予定。お金もらう分、投稿より本気だしてる。長い人生、この1冊で正しい美容医療の知識を身につけて欲しい、って思いを詰め込んだ。内容はこんな感じになってる↓ コレ楽しみな人いるのか🫩

↓これ見てから手に取るかは決めて欲しい。ちなみに、投稿も変わらず続ける。
【目次】
1章:肌質改善したい人向け
・毛穴治療【目指せ毛穴レス肌】
・シミ・くすみ治療【透き通った肌を目指す】
・ニキビ・ニキビ跡治療【これでもう悩まない】
・赤み・赤ら顔治療【自信の持てる素肌へ】
・肌のハリ・ツヤが欲しい・定期メンテしたい【目指せ-10歳肌】
2章:若返り・アンチエイジングしたい人向け
・たるみが気になる【引き締まったフェイスラインへ】
・目の下のたるみ・クマが気になる【明るく若々しい目元へ】
・ほうれい線が気になる【若々しい印象を取り戻す】
・小じわが気になる【なめらかな肌を手に入れる】
3章:輪郭・パーツを変えたい人向け
・小顔になりたい【理想のフェイスラインを作る】
・鼻整形【理想の鼻を手に入れる】
・二重にしたい【パッチリ目元を手に入れる】
・唇をぷっくりさせたい【魅力的なリップを作る】
4章:特別な特典
・美容クリニックの選び方【ぼったくりに騙されない】
・腕のいいドクターの選び方【手術で後悔しない】






",5,608,"45,000",2025/10/26 18:21:59,https://www.threads.com/@biyou._.m/post/DQRGoErE6Fw
,"お待たせした！！！

約5万文字以上でまとめた「えむちゃん式 美容医療まとめ」を公開する。私がオススメだと思う美容医療を悩み別に全て詰め込んだ。「しわ/たるみ/小顔/二重/美肌/毛穴/美容クリニック・ドクターの選び方/鼻整形 etc...」色々入ってる。これから届いたQ&Aも追記していく。私の本気を見て欲しい。美容医療をこれから本気でやりたい人は見て欲しい↓


↓ここから確認できる。読んだら、感想をコメント or 引用で教えておくれ。そしたら、もっと私は追記も頑張れる🫩 皆のために本気出すよ。
https://note.com/huge_skink8967/n/n79c1e5dcc0da
【完全版】えむちゃん式 美容医療まとめ【-10歳の若見えを目指す】｜えむちゃん

























",13,597,"120,000",2025/10/26 20:02:58,https://www.threads.com/@biyou._.m/post/DQRSLoWE0n6
,"緊急。26日23:59までに【えむちゃん式 美容医療まとめ】を購入してくれた人には「私に直接質問できる権利」を付けることにした。1人1回だけだが、私を信じて購入してくれた人に最高の敬意を払いたくなった。社畜だから、返信に時間かかるかもしれないけど、なるべく早く返す。え、私に質問なんてしたくないのか？🫩

あ、ごめん、どれかわかってない人いそうだから、一応書いておくとこれのこと！！！
https://www.threads.com/@biyou._.m/post/DQRSMDtE4F1?xmt=AQF0B2qgANajET_XpgwuD80n1X49qFD6gA930N8xAgptDQ











",1,162,"39,000",2025/10/26 20:24:00,https://www.threads.com/@biyou._.m/post/DQRUlrZEx7K
,"やばい、購入通知が止まらない...30分で50人以上も...こんなに皆んな楽しみにしてくれてたのか。感動してる。美容医療で悩むことないように、全て書いたし、これから先10年も使える内容を詰め込んだ。10年間を3,000円で買えるって考えたら、1日0.8円だよ...悪いこと言わないから手に取っておいてね...今後は、購入者の人を優先することも増えると思うから🫩














",0,349,"69,000",2025/10/26 20:44:21,https://www.threads.com/@biyou._.m/post/DQRW6sQk3my
,"想像以上だったwww 100名以上も購入してくれた。美容医療の正しい知識身につけたら、ビジュ上げできるし、ドクター・クリニック選びも間違わない。金ドブ案件に騙されることもないからね🫩 今、行動した人は正しい選択をしたと胸を張って欲しい。 残り30分以内に購入してくれた人には、私に質問できる特典も用意した。まだの人はラスト駆け込み待ってる🫩 ちなみに、明日から通常運転で行くよん






",0,245,"43,000",2025/10/26 23:32:37,https://www.threads.com/@biyou._.m/post/DQRqLJQEyk9
