スクショ,投稿文,リプ,いいね,インプ,日時,URL
,"美容と健康オタクのぬんちゃんです！
年齢を重ねても綺麗を導く方法発信していきます🤍
フォローしていただけると嬉しいです🪞🪄







",0,12,947,2025/3/19 10:54:52,https://www.threads.com/@nun___chan/post/DHXPx6oy0pb
,"そういえば、もうすぐで無印良品週間🌼
みなさん何か買いたいものは決まりましたか？







",0,2,"1,141",2025/3/19 16:04:38,https://www.threads.com/@nun___chan/post/DHXzOsvxFKI
,"美容オタクによる無印良品週間購入リストです
参考にしてみてね🫶🏻

↓特におすすめな2つだけ、リンク貼っておきます！
いち早く手に入れたい方はこちらから◎
◻︎クリーム化粧水
https://item.rakuten.co.jp/mujirushi-ryohin/4550583435097/?scid=af_pc_etc&sc2id=af_101_0_0 
◻︎ダメージリペアヘアミスト
https://item.rakuten.co.jp/mujirushi-ryohin/4550584465918/?scid=af_pc_etc&sc2id=af_101_0_0 


























",3,479,"14,000",2025/3/19 16:45:32,https://www.threads.com/@nun___chan/post/DHX36ONR-HP
,"新しいスキンケアに挑戦してみるか、気に入ってるやつリピし続けるか、迷うよね🥺






",4,6,"1,020",2025/3/19 17:24:00,https://www.threads.com/@nun___chan/post/DHX8T6qxmbd
,"朝のルーティン整えてから肌がめちゃ綺麗になったんだけど、私は起きたらストレッチ、歯磨きのあとに【白湯】を飲むことが日課
実は白湯1杯の効果って思ってる以上にすごくて、

◼︎胃腸が活性化して消化が良くなる
◼︎基礎代謝上がってダイエット効果
◼︎老廃物の排出促進でむくみがとれる
◼︎腸の負担を軽減しながら便秘解消
◼︎体を内側から温めて冷え性の改善
◼︎自律神経を整えてリラックス効果
◼︎血流改善でくすみやニキビを抑える

これだけメリットがあるんだけど、さらに効果をパワーアップさせてくれるのが...

レモンです！🍋こんな効果があるよ
◼︎血糖値上昇を抑える
◼︎肝臓の疲れを回復
◼︎口臭対策
試してみてね🪄











",1,5,922,2025/3/20 10:14:31,https://www.threads.com/@nun___chan/post/DHZv9NuTrba
,"花粉症ひどくて泣いちゃった






",0,2,"1,665",2025/3/20 11:30:33,https://www.threads.com/@nun___chan/post/DHZ4qF5TKay
,"今日は疲れたな〜って日の私の過ごし方🌛

◻︎お気に入りの入浴剤入れて長風呂
◻︎リッチなパックもつけてとっておきのスキンケア
◻︎ネトフリ観たりまったり時間
◻︎寝る1時間前にはスマホやめてホットアイマスク
◻︎お気に入りの香り纏ってベッドにダイブ！笑

みんなも頑張った自分にご褒美あげよっ✨






",0,2,924,2025/3/20 22:23:19,https://www.threads.com/@nun___chan/post/DHbDXGGTKlr
,"中華美女が大集合してるREDで見つけたんだけど、可愛いすぎる！！！￼ワンホンちゃん達の中で流行ってるみたい。おうち時間はもちろんだし、ジムとか職場にも🎀無印良品週間で私も買いました🫶🏻

クリアマグボトルは2サイズ展開！550mlは楽天にもありました↓
https://item.rakuten.co.jp/mujirushi-ryohin/4550344637784/?scid=af_pc_etc&sc2id=af_101_0_0　 pr

























",1,718,"20,000",2025/3/21 9:34:59,https://www.threads.com/@nun___chan/post/DHcQOkbBpUJ
,"アイクリーム意味あるの？って思ってる方、10年後絶対損してます🥹シワって本当に突然出てくる。
目元だけじゃなくて、口元、首にも塗ってほしい。
老けたくない人は絶対やるべき。
悩み別でまとめたから、参考にしてね🌷































",0,136,"6,767",2025/3/21 14:52:23,https://www.threads.com/@nun___chan/post/DHc0jL5pfji
,"ピラティスって敷居高そうだし、キラキラ女子多いイメージある人多そうだけど、思ってる以上に仕事帰りのOL多めだし、月4回マシンレッスンは15,000円で通えるし、平日20時開始レッスンもあって仕事後行けるし、Ｔシャツ+ジャージの人が結構多い。
つまり、仕事終わりの疲れた顔で行っても浮かない！🥹運動苦手な私でも続いてる趣味の1つです♡

ちなみに私が通う前に注意したことは、

◼︎通いやすい場所かどうか（遠いと行くだけで疲れる）
◼︎雰囲気が自分に合うか
◼︎気になることは当日聞けるように事前にまとめる










",1,47,"10,000",2025/3/21 19:07:45,https://www.threads.com/@nun___chan/post/DHdRxnJpPTL
,"「最近ほんと肌綺麗だよね」って言われるけど、腸活を意識してるからかなって思う。腸活って肌はもちろんだし、体質から変わるから、できることから始めてみてほしい。私がしてることってすごく簡単で、

◼︎善玉菌を含むヨーグルトか納豆を食べる
◼︎お水をこまめに飲む
◼︎毎日10分以上の有酸素運動で血行促進
　（お散歩も最強♡）
◼︎1日3食しっかり摂る
腸内環境整えることで、免疫力も上がるし、腸内細菌は幸せホルモンにも関係しているから気持ちも安定しやすくなる☺️











",1,1,"1,089",2025/3/22 13:41:13,https://www.threads.com/@nun___chan/post/DHfRM2BRl8M
,"何度も言うけど、後悔したくないならこれやって。

◻︎ビタミン・タンパク質摂る
◻︎亜鉛摂って髪の毛守る
◻︎アイクリームと日焼け止め
◻︎手の甲、首にもアイクリーム
◻︎有酸素運動で代謝あげる
◻︎ピラティスで姿勢正す

美容にはお金も時間も投資して、絶対後悔しないから大丈夫。ちゃんと頑張ったぶんだけ変わる✨

今から人生で1番素敵な自分になれるように、私がやってること知ってること、どんどん発信していくので　
@nun___chan
 をフォローして一緒に垢抜け美人目指していきましょ！🪄








",1,85,"3,588",2025/3/22 15:33:00,https://www.threads.com/@nun___chan/post/DHfd_qBxV9Z
