スクショ,投稿文,リプ,いいね,インプ,日時,URL,
,"めっちゃ出遅れてる感あるけど、
Threads今日から始めてみようと思います！🥺
3日坊主なので自分のペースで投稿できたらいいなぁ
よろしくお願いします🙇‍♀️







",1,2,"1,340",2025/3/29 21:47:33,https://www.threads.com/@reika_biyou/post/DHyKa_MSevp,
,"【保存必須】
美容ナースが教える！肌悩みに効く『神成分』7選

▫️レチノール → 毛穴・シワ・ハリ
▫️ビタミンC → 皮脂抑制＆美白
▫️アゼライン酸 → 赤み＆ニキビ
▫️サリチル酸 → 黒ずみ毛穴対策
▫️ナイアシンアミド → 肌荒れ予防＆A反応軽減
▫️セラミド → バリア機能＆乾燥ケア
▫️トラネキサム酸 → シミ予防＆美白

特にレチノールは効果が“見える”から人気！でも刺激が出やすいから、最初は週2〜3回からでOK！焦らずゆっくり、が美肌の近道です◎





",0,7,"1,640",2025/3/29 22:37:55,https://www.threads.com/@reika_biyou/post/DHyQL5qJ6zz,
,"いろいろ試したけど、肌が本気で変わったのは“腸活”でした。高い美容液も美容医療ももちろん効いたけど、便秘改善した瞬間から赤みもニキビも激減。ヨーグルトが合う人もいれば、発酵食品が合わない人もいるから、自分の腸に合う菌を見つけるのが大事。肌荒れを“外からのケア”だけで治そうとしてた昔の自分に教えたい。美容ナースとして働いてるけど、内側から変えるのが一番大事って思ってる。






",0,4,"1,900",2025/3/30 12:59:30,https://www.threads.com/@reika_biyou/post/DHzyyT9p_if,
,"昔の自分に教えたい。ガチで垢抜けた3つの習慣。高いコスメ使っても全然変われなかったけど、これやったら本当にビジュ爆伸びした。

①肌に合うスキンケアだけ使う
→流行りより“自分の肌”優先。美容ナースになってから成分ガチ見して選ぶようにしたら一気に変わった。
②眉毛と髪型をプロに任せる
→自己流やめたら一気に垢抜けた。骨格に合う眉毛と前髪、マジで大事。
③肌管理はプロの手を借りる
→美容医療＝ズルじゃなくて投資。肌が変わると人生変わるの本当だった。

垢抜けたいなら、まず“自分を知ること”から。何歳からでも遅くない。誰でもビジュは確実に伸ばせる。







",0,10,"2,386",2025/3/30 12:55:16,https://www.threads.com/@reika_biyou/post/DHzyTUdsx8b,
,"ここだけの話、私の写真をchatGPTに送ったらこの似顔絵を書いてくれてアイコン完成したんだけど、かなり美化されている(笑)というか、その前にchatGPTって絵も書いてくれるという事実が衝撃🥹






",0,0,"2,465",2025/3/29 23:04:02,https://www.threads.com/@reika_biyou/post/DHyTLJhJy1n,
,"成分迷子はとりあえず肌タイプ別で選ぶのが正解！

乾燥肌→セラミド・ヒアルロン酸
脂性肌→ナイアシンアミド・ビタミンC
敏感肌→グリチルリチン酸・ツボクサ
混合肌→CICA×セラミドの組み合わせ
普通肌→トラネキサム酸で透明感底上げ

自分の肌に合うもの見つけた瞬間、スキンケアは“楽しくなる






",0,7,"2,641",2025/3/30 16:11:25,https://www.threads.com/@reika_biyou/post/DH0Iv-NoAqj,
,"肌荒れてる時にやっちゃダメな成分、意外と使ってる人多い。①アルコール（乾燥＆刺激）②高濃度ビタミンC（ピリピリ注意）③スクラブ入り洗顔④ピーリング毎日⑤香料たっぷりの化粧水。一旦リセットしたいなら、優しさ重視に切り替えて！肌が落ち着いてから“攻める”でOK🫶🏻






",0,4,"2,688",2025/3/30 14:33:08,https://www.threads.com/@reika_biyou/post/DHz9gEtN88i,
,"美肌になった人が全員やってることって、結局シンプル。①落としすぎない洗顔②保湿は水分→油分の順で③攻め成分は1つだけ④日焼け止めは365日⑤肌の調子悪い日はスキンケアも休む。流行りに流されず、肌の声をちゃんと聞くのがいちばん大事🫧






",0,2,"2,774",2025/3/30 17:44:50,https://www.threads.com/@reika_biyou/post/DH0TcLIAOGw,
,"すっぴんで出かけられるようになったのは、何を使ったかじゃなくて“やめたこと”が大きかった。①毎日パック②1日何回も洗顔③とりあえず流行りを買う④肌荒れ中に攻め成分⑤無理な毛穴ケア。これ全部やめてから、肌が本当に落ち着いた。スキンケアって“足す”より“引く”が大事なときもあるよ💋






",0,7,"3,099",2025/3/30 15:21:45,https://www.threads.com/@reika_biyou/post/DH0DENrNbwV,
,"“レチノールならなんでも良い”は危険。選び方で肌荒れするか、美肌になるかが決まる。初心者は→“純粋レチノール”じゃなく“パルミチン酸レチノール”みたいなマイルド処方からスタート。敏感肌は“レチノール誘導体＋保湿成分入り”が安全。攻めたい人はナイアシンアミドと組み合わせると毛穴＆ハリに神効く。

まあこれ買っとけば間違いないやつ貼っとくからレチノール今から始めますって人は全員これからスタートね。ドクター監修のレチだから安心感やばい。pr
a.r10.to/hPEvT…
【楽天市場】ラブミータッチ レチノプロテクションミルク パルミチン酸レチノール2% 30mL パルミチン酸 レチノール 2% 乳液状 レチノール ビタミンA くすみ 乾燥 ハリ 保湿 紫外線 Lov me Tou

























",1,12,"3,247",2025/3/30 13:25:26,https://www.threads.com/@reika_biyou/post/DHz1wUZpJs1,
