　,投稿文,リプ,いいね,インプ,日時,URL
,"14時間前に投稿した「怖すぎる食器用洗剤の注意点」が、2.5万人に見ていただけて嬉しいよ👵

バアバもコレを知るまでは、洗剤はどれも一緒だと思ってたから、全ママに届いて欲しいな‼️




































",3,"1,268","240,000",2025/09/05 12:00:00,https://www.threads.com/@ajinobaba/post/DONGYUVD1AM
,"昨日の投稿、ちょっと情報出しすぎた気がする。
それに3.2万表示もいってるし、もしかしたらメーカーさんに怒られるかも・・・？😭
そうなったら予告通り消すので、今のうちに固定ポスト見ておいてください！ 

公式LINEもあるから登録して待っててね☺️






























",1,393,"190,000",2025/08/23 12:31:00,https://www.threads.com/@ajinobaba/post/DNrrsYsYs_Y
,"有益すぎてバズったら削除するかもですが、果汁100%ジュースなのかを一瞬で判断する方法を教えます！

「パッケージにリアルな果物の断面が描かれているか？」
たったこれだけだよ👵✨

ちなみに・・・
果汁5%以上100％未満は、リアルな果物を丸ごと描くのはOK！

果汁5%未満は丸ごとの果物をイラストで描くならOK！

左から果汁100%、5%以上、5%未満で画像を貼っていくね☺️

子供の飲み物選びの参考にしてね✨

















",7,408,"156,255",2025/9/8 22:00:41,https://www.threads.com/@ajinobaba/post/DOV5f0PApQK
,"炎上したらすぐに消します。
育児してるママでこの４つをよく使う人は、悪いこと言わないから最後まで見て
①豆乳
②ヨーグルト
③ココア
④味噌

ちゃんと選ばないと、逆に体に悪いかも😳
ちゃんと選ぶためには・・・

① 豆乳
・無調整豆乳は添加物なし
・調整豆乳は乳化剤、香料なども入ってる。

健康的に見せてるけど、実は・・・
っていうのが豆乳。

無調整豆乳は飲みにくいから、みんな調製豆乳を買いがちなんだけどね。
直接飲む以外なら、無調整豆乳がおすすめだよ

おすすめは・・・
・ふくれん 九州産大豆成分無調整豆乳
・キッコーマン おいしい 無調整豆乳

②　ヨーグルト
・生乳100%ヨーグルトの原材料は生乳だけ。
・それ以外は脱脂粉乳や植物性油脂でかさ増しされている可能性あり。

ヨーグルトは腸内環境にも健康にも良いものですが、選び方を間違えると逆に体に負担がかかる。
だから、ママさんはちゃんと選びたいものの1つ

スーパーで買える生乳100%ヨーグルトは・・・
・小岩井 生乳100%ヨーグルト 
・トップバリュ 生乳100%プレーンヨーグルト

③ ココア
・純ココアの原材料はココアパウダーだけ。
・ミルクココアはココアパウダーより砂糖の方が多い。

カカオはポリフェノールも豊富で体にいいけど、ミルクココアになると砂糖の量も多いし添加物も多くて健康に悪い飲み物
純ココアを買って、家ではちみつなどを入れて飲むのがおすすめ

スーパーで買える純ココアは・・・
・森永 純ココア
・ヴァンホーテン　ピュアココア


④　味噌
・天然醸造の味噌は「原材料：大豆、米（または麦）、食塩」だけ。
・酒精は保存安定のために入ってることもある。
・上記以外の味噌は、生きた菌はほぼいない。
・発酵食品というより「味噌風調味料」的な側面。

天然味噌の生きてる菌を取ることで、腸内環境た免疫力向上の効果を得られる。
70度以上でシぬが、死菌でも善玉菌のエサになる。

スーパーで買える天然醸造の味噌は・・・
・小円熟｜ひかり味噌
・昔ながらの天然醸造｜山印醸造

健康的な食事には、ちょっとした工夫が大事だったりします✨",28,488,"65,000",2025/08/22 11:54:00,https://www.threads.com/@ajinobaba/post/DNpCqAlI2_2
,"え、待って怖すぎる…😱

これは食器用洗剤に書いてある注意書きなんだけど、、、
「調理器具は流水であれば5秒以上すすいでください」

そうじゃないと、皿や鍋に残って界面活性剤などの有害物質を体内に取り込んじゃうらしい…

せっかく食事に気をつけても、これじゃあ意味ないかも😭

バアバがおすすめする無添加の食器用洗剤は・・・👇

①無添加　食器洗いせっけん
純粋な石けん成分と水だけでできた無添加石けん
入ってないとは言い切れないけど、かなり安心度が高いことは間違い無いよ！

②パックスナチュロン 台所のせっけん
合成界面活性剤の使用はなし
無香料・無着色で肌にも環境にも優しいよ👵
ポンプタイプだから片手でスポンジにつけられるのも良いね✨

③arau. アラウ 台所用 せっけん
合成界面活性剤の使用はなし
天然のハーブの成分が含まれていて、ほのかに自然が香るのも良いよ🫶
赤ちゃんの口に入るものにも使えるほど、自然派の洗剤だよ👵



















",31,516,"60,000",2025/09/04 22:00:00,https://www.threads.com/@ajinobaba/post/DOLmVLJiOZi
,"批判覚悟でいいます。
あなたの家のめんつゆ大丈夫ですか⁉️

意外と使用頻度が高い「めんつゆ」
実はイヤな成分が結構多く入ってます。

気をつけたいのは添加物だけじゃないです…

添加物：カラメル色素
食品：ぶどう糖果糖液糖、たんぱく加水分解物

安心して使えるめんつゆは…

①光食品 有機めんつゆ
本醸造醤油、有機の砂糖、酒
国産に昆布、鰹節
材料にとことんこだわってるめんつゆだよ☺️
a.r10.to/hgmtw… pr 

②辰商店 鰹たっぷりつゆ
添加物に頼らず、たっぷりの鰹節と椎茸で濃い出汁を取って作らてれるめんつゆだよ👵
冷たくても温かくても美味しいから重宝するよ✨
a.r10.to/hgtER… pr

③弓削多醤油 有機だしつゆ
有機醤油と有機本みりん、国産だし素材だけで丁寧に仕上げためんつゆ。
砂糖は使用せずにみりんだけを使用しているため、上品な甘さだよ☺️
a.r10.to/h8URe… pr





























",3,165,"49,947",2025/9/16 20:00:14,https://www.threads.com/@ajinobaba/post/DOqSEnQgIKK
,"怒られたら消しますが...
市販のマヨネーズには偽物が紛れ込んでます。

それは、カロリーハーフマヨネーズだよ

これらは国からマヨネーズとは認められてないだ。

だから、食品表示には「サラダクリーミードレッシング」と書かれてるよ👵

そして、もっとも怖いのは…

カロリーを抑えるために油を減らして、増粘剤が入ってること。
原材料表示の書き方として、油より増粘剤が多くても分からないんだよね…😭
だからマヨネーズは出来るだけ質の高いものを買う。
必要最小限で使うってのをオススメするよ！
バアバのおすすめのマヨネーズは・・・👇

①松田のマヨネーズ
これは外せない安定のマヨネーズ
ちょっと高いけど、本当に美味しいし、原材料も安心安全🫶
辛口・甘口で選べるから好きな組み合わせで買えるのも嬉しいね☺️
a.r10.to/hNacO… pr

②花兄園マヨネーズ
松田のマヨネーズに比べるとリーズナブルなマヨネーズ
宮城県の全卵と国内製造の菜種油を使用し、こちらも安心安全🫶
余計なものが入ってないからさっぱりとしてるよ☺️
a.r10.to/hkTZK…　pr

③オリゼ 麹マヨ
どうしてもカロリー気になる人はこれがオススメ！
卵不使用で、豆乳と米油、米麹で作ったマヨ
マヨネーズのガッツリした味わいではないけど、麹の力でコクと旨みは強いね✨
野菜スティックのディップなら、この麹マヨの方が合うよ🫶
a.r10.to/hFRDa… pr






















",44,412,"43,532",2025/9/8 19:59:58,https://www.threads.com/@ajinobaba/post/DOVrrrmDnZo
,"昨日投稿した「めんつゆ」が、約4万人の方に見ていただけて嬉しいよ👵

めんつゆって使用頻度が高いから、変なもの入ってると嫌だよね…

紹介したところ以外にもまだまだあるよ☺️

実は無添加の商品を沢山まとめた記事を準備中だよ✨
バアバ頑張るから、もう少しだけ待ってておくれ！
















",3,231,"43,415",2025/9/17 18:00:07,https://www.threads.com/@ajinobaba/post/DOspHzpArtK
,"昨日の投稿、ちょっとやりすぎたね👵
でも、大事な子供が食べるおやつに、価格を下げるために余計なもの入れるのは本当に許せないんよ・・・💢
プリンをゲル化剤で固めるとかさ・・・
でもメーカーに見つかったら怒られて削除されちゃうかもだから、今のうちに見ておいておくれ🥹


































",2,205,"40,000",2025/08/28 12:00:00,https://www.threads.com/@ajinobaba/post/DN4gDf-D8Rb
,"少し前に投稿した「果汁100%ジュースを一瞬で判断する方法」が、15万人に見ていただけてます！

今でも通知が来るんだもの！
バアバとってもびっくりしてるよ😳

みんな100%ジュース探すの苦労してたのかな…？
特に育児中の全ママに届いて欲しいな‼️















",1,90,"38,418",2025/9/13 12:00:18,https://www.threads.com/@ajinobaba/post/DOhsw6FCK7g
