スクショ,投稿文,リプ,いいね,インプ,日時,URL
,"娘（4）が「お手紙書いたよ」って扉に貼ってくれた
解読班あとは頼みます





























",5,4,"42,000",2025/7/3 20:01:36,https://www.threads.com/@iyaiya_ikuji_hack/post/DLpKnA9RXZP
,"この際だからハッキリ言いますが、子どもの寝かしつけで毎日苦戦しているなら、夜の家事は夫に任せよう。

寝かしつけ前にバタバタしていると、子どもも敏感に反応して寝つきが悪くなる。だから、寝かしつけの1時間前からは、家事もスマホも一旦ストップ。部屋の照明も少し暗くして、ゆったり過ごすだけ。

これだけで、寝かしつけにかかる時間は大幅に短くなるし、自分の夜の時間も確保しやすくなる。

「寝かしつけ＝毎晩のバトル」から解放されるだけで、育児のストレスは大きく変わります✍️



",0,9,"4,277",2025/7/3 20:04:21,https://www.threads.com/@iyaiya_ikuji_hack/post/DLpK7K3xdvQ
,"断言するけど子どものごはん作りに毎回時間をかけすぎるのは、正直ムダ。大事なのは「全部手作りすること」じゃなくて、「安心して食べられる時短メニューを脳内ストックしておくこと」。

たとえば、冷凍野菜ミックスにツナ缶を加えてレンジで加熱。それだけで、子どもが食べやすいおかずが即完成する。

ごはん作りに時間をかけるほど、育児の余裕はなくなるもの。
冷凍食材と缶詰を組み合わせるだけで、日々の食事ストレスは驚くほど減る

「ごはん＝がんばるもの」という思い込みは、今日で捨てていい。もちろん夫も同じメニューです






",0,6,"4,419",2025/7/3 20:06:12,https://www.threads.com/@iyaiya_ikuji_hack/post/DLpLIxBxsDB
,"お願いです。3歳児に謝罪を強制しないでください。保育士のママ友に教わってすごく納得した話なんだけどね「3歳の子に謝らせようとしても無理だよ、脳がまだ未発達だもん」って。確かに、うちの子もトラブルの後は泣くだけで、言葉にならないことが多い。それが普通なんだってわかっただけで、私も心が軽くなった。焦らず、見守ることを大切にしていきたい。

【補足】
実は、3歳くらいの子どもは「前頭前野」という脳の部分がまだ発達途中で、感情をコントロールしたり、相手の気持ちを想像して謝る力が育っていません。
つまり、「ごめんね」と言わせようとしても、そもそも脳の仕組み的に難しいんです。
それを知ってからは、謝らせることよりも、まず子どもの心を落ち着かせる時間を大切にするようにしました。
焦らず、ゆっくり育っていくのを見守ることが、いちばんの近道かもしれません。
こういう「知らないとしんどい育児の真実」、これからもシェアしていくので、よかったらフォローして一緒に学んでいきましょう！🤝

@iyaiya_ikuji_hack 
↑ポチっとすると他の投稿もみれます🥺❤️‍🔥

















",2,46,"11,000",2025/7/4 10:46:24,https://www.threads.com/@iyaiya_ikuji_hack/post/DLqv3hvyhBm
,"まだ9割の人が知らない、3歳児の過去が『全部昨日』の理由。うちの子も「全部昨日」って言ってて、最初は笑ってたんだけど実は脳の発達が関係していると知って驚いた。3歳は記憶を整理する海馬や前頭前野が未発達で、時間の感覚が育っていないから、全部「昨日」や「明日」になるらしい。「それいつの話？😂」と直さずに、「覚えてるんだね」と受け止める方が脳の成長に役立つと聞いて、声かけを変えてみたら、会話もスムーズになったからやってみて欲しい

他の投稿でも育児書オタクのわたしがママが
『知って得する育児のなるほど知識』や『育児ハック』を発信してます✍️
フォローして育児の負担を軽くしてね👶↓
@iyaiya_ikuji_hack














",1,270,"25,000",2025/7/4 10:50:53,https://www.threads.com/@iyaiya_ikuji_hack/post/DLqwYSoytO0
,"何度でも言うけど、赤ちゃんの「発語力」はたった7つの習慣でつくれる👇

『❶1日20分赤ちゃんの目を見てゆっくり語りかけ』
『❷毎日5冊絵本を優しい声で読む』
『❸同じ単語を最低3回繰り返す』
（例：「ワンワンだね、ワンワンかわいいね、ワンワンだね〜」）
『❹「りんご」「赤」「大きい」など名詞・形容詞を意識して会話』
『❺スマホは赤ちゃんの前でオフにして声のやりとりを優先』
『❻泣いたときは「悲しいね」「嫌だったね」と感情を代弁する』
『❼1日1回、「ママ」「パパ」「ブーブー」など赤ちゃん言葉を交える』

この7つの習慣を徹底するだけで、赤ちゃんの発語力はグンと伸びる。

さらに、発語スイッチをもっと加速させたいなら、
『❽

ジェスチャーをセットで伝える（例：「バイバイ」と手を振る）』
ここまで意識すると、言葉の爆発期が一気に早まるからママはみんな保存しといて🥺
他にも子どもをかしこく育てる育児ハックを知りたい人は育児書で学んだ情報を毎日流していくからフォローしておいてね🫶
＠_pochi_room
















",1,44,"6,313",2025/7/4 10:59:23,https://www.threads.com/@iyaiya_ikuji_hack/post/DLqxWhmSTNe
,"残酷ですが「3歳児は順番を守れません」。
その理由は、

脳のワーキングメモリ（作業記憶）がまだ未熟だからです。
3歳くらいの子は、同時に複数のルールを覚えて行動することが難しく、「順番を守る」「待つ」などが理解しにくいのです。
わが家でも、公園の遊具で「順番守ろうね」と声をかけるたびに泣いてしまうことがありました。
でも「次は〇〇くんだよ」と伝えるのではなく、1回ごとに行動を区切って声をかけることで、落ち着いて遊べるようになった経験があります。
子どもの脳の仕組みを知るだけで、育児が驚くほどラクになることもあるんです。
こういう「知らないとしんどい育児の真実」、これからもシェアしていくので、よかったらフォローして一緒に学んでいきましょう🤝",3,12,"26,000",2025/7/4 11:27:17,https://www.threads.com/@iyaiya_ikuji_hack/post/DLq0i8QRFne
,"こっそり教えますが、離乳食のスプーンは3本用意するのが正解です。先輩ママから聞いて半信半疑だったけど、やってみたら納得。
❶1本はママが食べさせる用
❷もう1本は子どもが自分で持つ用
❸ラスト1本は投げられる用😂
たったこれだけで、心の余裕は作れる







",0,15,"7,069",2025/7/4 11:30:59,https://www.threads.com/@iyaiya_ikuji_hack/post/DLq0-AExe_s
,"何度でも言うけど、
災害時にママが助かる「育児グッズ」はこれ👇

『❶液体ミルク（125ml×3本）』
『❷使い捨て哺乳瓶（5個セット）』
『❸おしりふき（70枚×3パック）』
『❹ポータブルおむつ替えシート』
『❺子ども用ヘッドライト（LED）』
 → 両手がふさがらず夜間も安心
『❻圧縮おむつ10枚セット』
『❼おやつ（ボーロ・ビスケットなど）3日分』
 → 子どもの心を落ち着かせる

防災リュックに入れておくだけで安心感が桁違い。

さらに、もし長引く避難生活に備えるなら、
『❽

耳栓＆アイマスクセット→ 赤ちゃんの眠りを守る必需品』
ここまで揃えれば、災害時でも育児の負担はかなり軽くなる。万が一に備えて今から対策しておこう🥺何かあってから準備してたら遅いから、赤ちゃん用の災害グッズまとめおいておきます👇
a.r10.to/hgLpN…  PR 









",1,37,"9,411",2025/7/4 11:45:46,https://www.threads.com/@iyaiya_ikuji_hack/post/DLq2qU6xc_l
,"これマジな話ですが、赤ちゃんのおむつ替えで「クサイ」は禁句。先輩ママから聞いて知ったんだけど、3歳ごろまでの子は、おしっこやうんちを『自分の一部』として感じるんだって🥺
だから「クサイ」と言われると、自分が否定されたように感じることもあるらしい。「スッキリしたね」「お腹もラクになったね」と声をかける方が、赤ちゃんも安心するし、親も心がラクになるって教えてもらってからは、私も言葉を変えるようになったよｯｯｯ

他の投稿でも育児書オタクのわたしがママが
『知って得する育児のなるほど知識』や『育児ハック』を発信してます✍️
フォローして育児の負担を軽くしてね👶↓
@iyaiya_ikuji_hack 













",32,"1,279","100,000",2025/7/4 13:39:40,https://www.threads.com/@iyaiya_ikuji_hack/post/DLrDskyx_ly
