スクショ,投稿文,リプ,いいね,インプ,日時,URL
,"「今日のご飯何しよ😩」って、毎日悩みない？
実は私、家での献立で困ったことがない。飲食店に行けばメニュー表でワクワク、数々のレシピ本は破けるほど読んできた。そんな私がたどり着いたのは、「献立はセンスじゃなくて仕組みで回せる」という答え。これから誰でもマネできる献立がラクになるコツとレシピを発信していくよ！フォローして待っててね。







",14,"1,193","350,000",2025/6/4 0:28:27,https://www.threads.com/@tenukide_kondate/post/DKcZTRcOJ6I
,"あと一品、なんか足りん！！ってときはこれ。
\まぜるだけ副菜の黄金比/
冷凍野菜（加熱後）…100g
めんつゆ（3倍濃縮）…小さじ2-大さじ1(11-17g)
かつお節…1パック（2〜3g）

あとは混ぜるだけ。ガチで秒。仕上げに白ごまでちょっとだけできる感も出せる。



・冷凍ほうれん草
水気を絞るとこがポイント（白ごま足すと最高）
・冷凍ブロッコリー
めんつゆ＋鰹節の甘塩っぱさとよく絡む
（少しだけマヨ足しても合う、子ども向き）
・冷凍いんげん
食感が残ってる感じが好き。
（七味やごま油でアレンジも可）










",5,228,"340,000",2025/6/4 0:37:08,https://www.threads.com/@tenukide_kondate/post/DKcaSy_SsFr
,"あと一品足りん！！
そんな時の黄金の和え物ルール（100g想定）
•冷凍野菜でも水分はしっかり切る
•調味料：小さじ1をベースに
•放置してなじませる
(冷蔵庫で10分入れると鰹節は特に馴染む)
•ごま・のり・かつお節でとりあえず美味くなる







",0,105,"80,000",2025/6/4 0:51:01,https://www.threads.com/@tenukide_kondate/post/DKcb4d1yw6R
,"味が決まらない人、これ知らんと損してる
和え物の味付け、なんとなくでは一生ブレる。
＼味が整う黄金ルール／
「油×塩」これがシンプルうまい
・ごま油 × 塩（＋にんにくで最強）
・オリーブオイル × 塩（洋風副菜に）
・バター × 塩（かぼちゃやじゃがいもがおすすめ)
ちなみに私は「きゅうりにごま油×塩×にんにく」で一生食べてる。







",3,253,"87,000",2025/6/4 0:53:58,https://www.threads.com/@tenukide_kondate/post/DKccOH2ynCn
,"きゅうりがあったらこれ作って
切って混ぜるだけ秒で完成味ブレなし副菜5選

①やみつき塩だれきゅうり
「ごま油 小さじ1」「鶏がらスープの素 小さじ1/2」
「にんにくチューブ 1〜2cm」
ポリ袋でもんで10分寝かすと優勝🫡

②梅おかかきゅうり
「梅干し 1個つぶす」「かつお節 1パック」「めんつゆ 小さじ1」
きゅうりに和えるだけ。さっぱり無限。

③塩昆布レモンきゅうり
「塩昆布 ひとつまみ」「レモン汁 小さじ1」「ごま油 小さじ1」
この組み合わせが地味に美味くて箸止まらん

④韓国風のりきゅうり
「韓国のり ちぎる」「ごま油 小さじ1」「塩ちょい」

⑤ツナマヨきゅうり
「ツナ 1/2缶」「マヨ 小さじ1.5」「塩こしょう少々」
全部混ぜてスティックきゅうりに乗せるだけ。







",13,598,"100,000",2025/6/4 0:59:20,https://www.threads.com/@tenukide_kondate/post/DKcc1cLOUcH
,"あと一品、なんか足りん！！って時用に
常備しておきたい神食材5選
1.卵
2.豆腐
3.納豆
4.ちくわ
5.もずく




1.卵
ゆで卵してもいいし、白だし加えて溶き卵にしてレンチン卵焼きにも。
2.豆腐
冷奴として出す、鰹節かけたらカルシウムの吸収率も上がるし一石二鳥
3.納豆
そのままでもいいし大葉とか乗っけても
4.ちくわ
切ってあおさとマヨあえるだけでうまい
5.もずく
そのままでもいいし、トマトと合わせても









",12,205,"120,000",2025/6/4 1:03:41,https://www.threads.com/@tenukide_kondate/post/DKcdVO5uJnH
,"ツナあったらこれ作って
① ツナマヨコーンきゅうり
「きゅうり」「ツナ」「コーン」「マヨ＋塩少々」
きゅうりは角切りにするとポリポリ感がうまい

② にんじんとツナの甘酢サラダ
「にんじん千切り」「ツナ」「酢」「砂糖」「しょうゆ」
調味料は全て小さじ1
冷やすとさらにうまい

③ ツナとじゃがいものチーズ和え
「じゃがいも」」ツナ」「粉チーズ」「マヨ」
ポイント：ポテサラ風でなめらか

④ ブロッコリーのツナチーズ蒸し
「冷凍ブロッコリー」「ツナ」「ピザ用チーズ」
耐熱皿でラップしてチン（600W 1分）
チーズ溶けてなかったら様子見つつ加熱

⑤ キャベツのツナごまナムル
「キャベツざく切り」「ツナ」「白ごま」「ごま油」「塩」キャベツレンチン2分して調味料と和えるだけ

ツナは水煮缶だとあっさりに。
(ダイエット向きの人はそちらがおすすめ)






",2,570,"140,000",2025/6/4 9:14:57,https://www.threads.com/@tenukide_kondate/post/DKdVjX6SDWP
,"メモして冷蔵庫貼っといて爆速和え物 黄金比率

【和風味】
「しょうゆ：小さじ1」「砂糖 or みりん：小さじ1/2」
「ごま油 小さじ1」「鰹節　ひとつかみ」
（お好みで）白すりごま：小さじ1

【中華味】
「鶏がらスープの素：小さじ1/2」「ごま油：小さじ1」「にんにくチューブ：1〜2cm」
（お好みで）醤油 or 塩：少々

【韓国味】
「ごま油：小さじ1」「塩：ひとつまみ」「韓国のり 適量」「コチュジャン 適量」
鶏ガラスープの素を＋しても味がしまる






",4,"1,502","190,000",2025/6/4 9:20:22,https://www.threads.com/@tenukide_kondate/post/DKdWLEwS9Sd
,"家族いるとさ、めっちゃ大変じゃない？
これ、主婦になって一番感じたこと。
私が好きなもの＝みんなが食べるとは限らない。
夫は酸っぱいの苦手、子どもはピーマン残す。それを考えながら献立を作ってなかなかの技だよね。





",10,272,"170,000",2025/6/4 9:42:47,https://www.threads.com/@tenukide_kondate/post/DKdYvVxS4-b
,"やば…天才調味料の黄金比
「何作ろ…」ってときは、この味つけしとけば
とりあえず一品になる👇
「ごま油 小さじ1」「塩 ひとつまみ」
→キャベツとかきゅうりがおすすめ

「しょうゆ 小さじ1」「酢 小さじ1」「砂糖 小さじ1/2」
→ 人参＋ツナで最強副菜。

「めんつゆ 小さじ2」「すりごま 小さじ1」
→ ほうれん草も豆腐もこれで無限。

お好みでごま、鰹節、黒胡椒かけたら完璧。






",7,"1,303","240,000",2025/6/4 14:19:43,https://www.threads.com/@tenukide_kondate/post/DKd4blPOLQ1
