スクショ,投稿文,リプ,いいね,インプ,日時,URL
,"私が最初にフルリモート正社員で転職先探してた時のキーワードは、
「フルリモート」「インサイドセールス」だった






",0,10,"1,245",2025/3/11 22:53:40,https://www.threads.com/@sena___dayo/post/DHD7rjvTayf
,"あと意外とフルリモート転職でも
PCのスキルは必要なかった😇
必死にExcelの本とか買って勉強してたけど
結局全然使わないし、使うとしてもやりながら嫌でも覚える。笑







",0,2,"1,063",2025/3/11 22:55:58,https://www.threads.com/@sena___dayo/post/DHD78bATayD
,"Meta広告運用難しいけど
勉強になる📚✍️






",0,6,"1,184",2025/3/12 11:40:13,https://www.threads.com/@sena___dayo/post/DHFTZ6yTVri
,"先輩から教えていただいた、
クライアントごとに
chromeのプロファイルを作っておくの、
めちゃくちゃ便利🥺✨✨

常識かもしれないけど
文系から転職した私にとっては
ショートカットとか、こういうチップス的な
リモートワークノウハウはとても助かる😭
在宅ワーク







",0,15,"5,421",2025/3/12 18:08:56,https://www.threads.com/@sena___dayo/post/DHF_46rz9g6
,"ちなみに私の完全な偏見なのですが（）

お子さんを持つママさんに、よく
インプレゾンビのようにたかっている
“在宅でお仕事できます！DMください！”
系の人たちは、全員詐欺ですwww
絶対騙されないでくださいwwww😇😂

知らんけど。






",0,19,"8,764",2025/3/12 22:42:09,https://www.threads.com/@sena___dayo/post/DHGfKBKz9xm
,"Webデザインだけだったら楽しそうだし
勉強したいなと思うけれど、
その”デザイン”の中には
コーディングの知識や経験も含まれるわけで、
なので私には無理だなと思ってしまう😇

HTMLだとかコーディングできる方
本当に尊敬する…

せめてSEOライティングの知識をもっとつけたい。






",0,22,"1,415",2025/3/13 22:53:34,https://www.threads.com/@sena___dayo/post/DHJFQjXzUhZ
,"そして、フルリモート、在宅で仕事がしたい！と思うタイミングっていつなんだろうと考えた時に

・結婚したから
→夫の転勤や家事など
・妊娠、出産
→体調面から在宅がいい、子供を近くで見たい
・親の介護が必要
→地元に帰省することになったり、日中のお世話
・ワンちゃん、猫ちゃんを飼った
→家に誰かいた方が安心
👆うちの会社への転職理由としてはこういう理由が挙げられるかも。

やはり男性よりも女性の方が多い気がしていて、
それだけ女性は、キャリアがライフスタイルの変化に影響されやすいんだなーと…。。。






",0,7,"1,043",2025/3/14 10:17:40,https://www.threads.com/@sena___dayo/post/DHKTjDHTS8A
,"というか、
いろんなスキルつけて在宅ワークしましょう！
みたいな、ママさん向けの投稿めちゃくちゃ見るけどさ

正直なこと言っていい？

現代の日本で、出産して（それだけで少子高齢化に貢献してる）、子育てして、
誰よりもすごい経験を持っているの
ママさん達だと思うんだよね…

命という何よりも大事なものを守りながら
マルチタスクを常にこなすって本当に凄い。

なのに副業を、在宅ワークを…って
もう、子育てしてる時点で十分すごいんです😭
と思ってしまう

私は妊娠も出産もしたことないから
本当の大変さはわからないけど…
それでも、正社員として働いてる人と同じくらい、それ以上にすごいと思ってる







",0,7,969,2025/3/14 11:34:53,https://www.threads.com/@sena___dayo/post/DHKcYioz2Qw
,"未経験でフルリモート、インサイドセールスにチャレンジしたい方、いますか？
私が転職や面接の時に気をつけたポイントなどまとめようかなと思ってます！！






",1,32,"3,704",2025/3/14 12:50:40,https://www.threads.com/@sena___dayo/post/DHKlDrizK73
,"これからクローズドなコミュニティとして
Instagramのストーリーで色々情報発信していこうかな〜とも考えてる🫣💭✨






",0,6,"1,295",2025/3/14 18:07:15,https://www.threads.com/@sena___dayo/post/DHLJSZLzuEg
,"テキストでやり取りすることが多く
いかにわかりやすく伝えるかが大事なリモートワークで、私がSlackで大事にしていること✍️

①必ず件名を書く（太字で）
②件名の前に、相手に（依頼の際はいつまでに）何をしてほしいのか書く
例：【確認依頼・3/15まで】◯◯の件
　　【共有】◯◯について
③エラーやミスは以下の流れで記載する
事象→調査結果→原因の仮定（特定）→解決策
④質問は、
・どのような背景、意図で
・どこまでわかっているのか
・エラーであれば、再現条件をできるだけ詳しく

先輩に教えてもらったこと！
まだまだあると思うので教えてください🙏







",0,14,"1,454",2025/3/15 1:52:40,https://www.threads.com/@sena___dayo/post/DHL-jMozATM
,"楽して在宅ワークで稼ごうとしている方、
断言します、楽して稼げる仕事なんてありません…いい話に騙されてはダメです

ちゃんと転職サイトから求人を探して、
書類をたくさん出して、
履歴書をたくさん推敲して、
面接をきちんと受けて、在宅のお仕事に就いてください

私も時間はかかったものの
書類選考なんて50社以上落とされ、
その度に履歴書を書き直して自分と向き合い、
面接を重ねて志望動機を練り直して
やっと今のお仕事を手に入れました。

自分と向き合ういい機会だと思ってください🥲







",2,74,"13,000",2025/3/19 17:43:02,https://www.threads.com/@sena___dayo/post/DHX-fZazTJj
,"うちの会社はフルリモートなので
家にワンちゃん、猫ちゃん飼ってる率が異常🐕🐈笑

8割超えてる気がする、
社内ミーティング中に猫ちゃんが
画面の前を通過するのが日常すぎる






",0,6,"1,227",2025/3/20 1:36:18,https://www.threads.com/@sena___dayo/post/DHY0pqEzbA3
,"📌リモートワークで使ってるタスク管理ツール

・Google ToDo
→1番シンプル。Googleカレンダーと連携しているので抜け漏れがない
・Google keep
→こちらもGoogleカレンダーと連携。タグなどで分類可。より長めのメモを残したい人向け
・Google スプレッドシート
→結局ここに戻ってくる同僚は多かった。ただシートを作るまでがちょっと大変
・Notion
→私の中でNo.1。使いこなすまで難しいけど、慣れれば最強。いつか詳しく紹介したいです
・Wrike
→社員全員で使ってるツール。工数管理と併せて使用してます。

前提として社内で簡単に共有できるかが大事です🙏
それぞれの詳しいメリット、デメリット
追々まとめます✍️

他に使いやすいよというおすすめツールがあれば
ぜひ教えてください！






",0,33,"1,779",2025/3/20 23:57:28,https://www.threads.com/@sena___dayo/post/DHbOIu6z2vg
,"✍️インサイドセールスTips

私がインサイドで架電をしていた時、
架電前にどれだけ顧客情報を多く集められているかがすごく重要だったなと。
しかもそれをホットのタイミングで、時間をかけずにいかに素早くやるかが大事。

この時すごく活用していたのが、
会社名＋”中長期計画”などのIR資料を検索すること。

ここにはサイト上の事業内容だけでなく、直近の動向や今後の課題などがたくさん詰まっているので本当に重宝してました。

あとは採用ページにも意外と情報が詰まっていて、どのような事業展開をしているのか、どのようなスキルが求められるのか（＝どのような施策をこれから打っていきたいのか）などが応募者向けに比較的分かりやすく書かれているなと感じます。






",0,9,"1,065",2025/3/21 15:24:20,https://www.threads.com/@sena___dayo/post/DHc4NT6zC5R
,"私は未経験でフルリモート正社員に転職できたのですが
実質、書類提出や面接などの転職活動をしていたのは2ヶ月くらいです。

意外と早い？と思うかもしれませんが、

その前に死ぬほど”未経験で正社員フルリモートになる方法”について調べたり
企業研究、自己分析、転職活動の軸作りなど事前準備をしました。笑
これが大体3ヶ月くらいだと思います。🥲

逆にいうとここさえ早めに掴むことができれば
割と早く転職できたのかなと思います…！

このあたりできるだけお伝えできればと思ってて
できるだけ効率よく転職活動（就活）をして欲しいです…！






",0,77,"7,124",2025/3/24 21:44:02,https://www.threads.com/@sena___dayo/post/DHlSC0rzE4R
,"すごく嬉しいことがあったのでシェア💭

実はひっそりと初めて有料noteを作ってみたのだけど
（収益目的というより、割と公にできない情報だったので）

早速購入いただけた上に、素敵なメッセージとチップまでいただけて。
初めてのことでどうしていいかわからなくなるくらい嬉しかったです。

これからも頑張ります。ありがとうございます🥲






",0,6,"2,153",2025/3/25 16:34:06,https://www.threads.com/@sena___dayo/post/DHnTXtUT74D
,"リモートワークあるあるだと思うんですが
家でお仕事する時は、めっちゃ眠かったら8時50分に起きてそのままメガネだけかけてミーティングに参加、もちろん下はパジャマ（笑）






",1,6,"2,583",2025/3/26 15:18:14,https://www.threads.com/@sena___dayo/post/DHpve8AzEs7
,"フルリモートの良さって本当に色々あるけど、
私が約4年間フルリモートで働いてみて感じる、いちばんの良さは
「会いたい人に、会いたい時に・会える時に、
会いにいくことができる」ことだと思ってます。

note でも少し書いたのですが、
私は今28で親も60近く、いつ何があってもおかしくないし、遠くに住んでたら”健康なうちに”何回会えるかわからない。

友達だってそうで、会いたいなーと思う大事な人に、遠くに居てもすぐ会いに行けるって、この年齢なるとなかなか難しいけど本当に大事なことだと実感してます💭







",0,10,"2,672",2025/3/26 15:22:41,https://www.threads.com/@sena___dayo/post/DHpv_mhT3wk
,"本当に在宅ワークで稼いでる人は
InstagramのDMやLINEに誘導することは
10000000%ありません！！！！！！
ソースは私です！！！！！！！！笑

これですよ🙂‍↕️

楽して在宅ワークで稼ごうとしている方、
断言します、楽して稼げる仕事なんてありません…いい話に騙されてはダメです
ちゃんと転職サイトから求人を探して、
書類をたくさん出して、
履歴書をたくさん推敲して、
面接をきちんと受けて、在宅のお仕事に就いてください
私も時間はかかったものの
書類選考なんて50社以上落とされ、
その度に履歴書を書き直して自分と向き合い、
面接を重ねて志望動機を練り直して
やっと今のお仕事を手に入れました。
自分と向き合ういい機会だと思ってください🥲

すみません、10000000%はいいすぎました🥲
あくまで、全て私の個人的な意見と取っていただけると嬉しいです…🙇🏼

















",17,256,"27,000",2025/3/26 16:00:07,https://www.threads.com/@sena___dayo/post/DHp0RqLTj76
,"あとは私が実際に遭いかけた副業詐欺は
今話題のオンラインカジノのアフィリエイトかな…

当時コロナ禍だったんだけど
大学時代の友人からめちゃくちゃしつこく誘われた😇

私はよく調べたから大丈夫だったけど
やってる知り合いが何人かいてゾッとした🙃

同じような方いますか？笑





",5,8,"3,143",2025/3/26 17:17:48,https://www.threads.com/@sena___dayo/post/DHp9KoqTYW7
