予約投稿日時,予約投稿時間_時,予約投稿時間_分,ポスト文
2026/02/05,9,0,働きたくない！！！って人いいねください。自分だけじゃないって思いたい。
2026/02/05,14,0,人と話すとHPゴリゴリ削られる人いない？🫠私はもう外に出るの諦めたよ✌️お家でPCカタカタして生きていくのが一番平和。
2026/02/05,21,0,「働きたくない」んじゃなくて「自分のペースで生きたい」だけなんだよね💤満員電車も理不尽な人間関係もサヨナラ👋
2026/02/06,9,0,みんなが外出してる間に私は二度寝を楽しむよ🫡無駄な体力使わず低燃費で生きるのが賢い生存戦略だよね✌️
2026/02/06,14,0,社会不適合って言葉、響きが悪すぎるよね？🤔「お家大好きのプロ」って呼んでほしい✌️
2026/02/06,21,0,口下手でも文章なら想いを伝えられるから不思議📝お家から出ずに自分の世界を作れるって最高じゃない？
2026/02/07,9,0,夜になると元気出るの私だけ？🌙世界が静かだと安心するよね。明日も無理せず、お布団の中でできることだけやってこ✌️
2026/02/07,14,0,インフル、コロナ流行ってるらしい～そもそも外に出ない自分は全くかからない笑
2026/02/07,21,0,週3休みがちょうどいい！って良くみるけど、そもそも社不の自分は1日も外で働きたくない…💤
2026/02/08,9,0,雨の日は「外に出なくていい正当な理由」ができた気がして嬉しい☔️今日も全力で引きこもるよ✌️
2026/02/08,14,0,三連休終わるの辛いけど、今年は連休多いって聞いたから頑張れるぅ🫠
2026/02/08,21,0,リアルな友達は少ないけど、ここの繋がりは心地いいな☺️無理に飾らなくていいし、ダメな自分もさらけ出せる。
2026/02/09,9,0,１２月頃からずーっと気分があがらない状態が続いてるんだけど同じような人いる？
2026/02/09,14,0,働きたくなさすぎるし、週末は寝て終わる。
2026/02/09,21,0,労働から卒業したい人、夜更かしついでに繋がろ〜💤
2026/02/10,9,0,外で戦えないなら、お家で勝てる場所を作ればいいだけ。無理せず自分らしく生きる仲間、募集中だよ🤝
2026/02/10,14,0,ネットさえあれば生きていける良い時代に感謝🙏外に出なくても誰かと繋がれるし、自分の言葉が届くってすごくない？
2026/02/10,21,0,お布団の中から一歩も出ずに生きる生存戦略、着々と進めてるよ🐾
2026/02/11,9,0,ダラダラ過ごす罪悪感なんて捨てて、今日も良き引きこもりライフを💤
2026/02/11,14,0,言葉を紡いで生きていく生存戦略、もっと研究していくね🐾
2026/02/11,21,0,社会不適合な私たちが集まれば、きっと最強の生存戦略が見つかるはず🐾
