予約投稿日時,予約投稿時間_時,予約投稿時間_分,ポスト文
2026/02/05,9,0,もう旦那にお金の相談するの辛い。
2026/02/05,14,0,「今日休みでいいな」って旦那に言われた瞬間、静かに殺意が芽生えたのは私だけじゃないはず😇365日24時間営業のママに休みなんてないんだよ💦
2026/02/05,21,0,ママっていつになったら自由になれるんだろ？
2026/02/06,9,0,旦那は毎月何回も飲み会に行ってるのに、私は2～3ヶ月に一回、美容院やネイルに行くことも許されない、、、。世のママさんは気分転換どうしてますか？
2026/02/06,14,0,子供が寝た瞬間、安堵と一緒にドッと疲れが押し寄せてきてリアルに白目むいてる🙄今日もお疲れ私、お疲れみんな🍵
2026/02/06,21,0,育児の合間の15分、みんな何してる？私は最近この時間だけは家事放置して、こっそりスマホで自分のお小遣い作りしてるよ🍵
2026/02/07,9,0,もう「本日の営業は終了しました」って看板を首から下げたい🍵夕飯作りたくないから今日はレトルト祭りでいいよね？ズボラ母ちゃんを許して😭
2026/02/07,14,0,自分でお金を稼いで子どもに誇れるママになりたいって人どれくらいいる？
2026/02/07,21,0,子供の教育費のこと考えると急に不安になって夜しか眠れない（嘘、夜も考えすぎて眠れない💦）。同じように焦ってるママ友と繋がりたいな🤝
2026/02/08,9,0,独身時代の、自分のためだけに時間とお金を使えてた週末が恋しすぎて泣きそう。
2026/02/08,14,0,気分転換したくても時間もお金もない。みんなはどうやって気分転換してる？
2026/02/08,21,0,こんな時間まで起きてるママ、本当にお疲れ様🍵一人の時間が欲しくてつい夜更かししちゃうけど、明日の朝絶望する未来が見える💦
2026/02/09,9,0,洗濯物、畳まずに「山」の中から発掘して着るスタイルだけど何か問題でも？🙄ズボラ仲間募集中💓
2026/02/09,14,0,自分の服買うのに何日も悩むのに、子供の服は即決しちゃうのなんでだろ😭同じ気持ちのママ、正直に教えて？💦
2026/02/09,21,0,子供が寝たあと、散らかった部屋は見なかったことにして好きなことしよ🤝
2026/02/10,9,0,微々たる額だけど「自分で稼いだ」って事実が、旦那へのイライラを鎮める精神安定剤になる😭💓
2026/02/10,14,0,100均にいくとついつい買いすぎちゃうから、節約のために行ってるって自信もって言えなくなってきた…笑　私だけ？
2026/02/10,21,0,今の瞬間だけは、散らかった部屋は見なかったことにして好きなことしよ🤝ママが笑顔ならそれが正解だよね💓
2026/02/11,9,0,亀の歩みだけど、0よりは絶対にマシ！諦めそうな人、一緒に励まし合お🤝💓
2026/02/11,14,0,どうも、うちの子も成人式に参加する日が来るのか～…とニュースで人様の子を見ながら泣いている幼児ママです。
2026/02/11,21,0,それでも今の癒やしタイムだけは絶対に譲れないよね😭
