予約投稿日時,予約投稿時間_時,予約投稿時間_分,ポスト文
2026/02/05,9,0,今日の夫のモラハラ記録「洗濯もまともにできねーの？」おめーはポケットにティッシュ入れたまま洗濯に出すの何回目ですか？？？
2026/02/05,14,0,もう限界。夫と離婚することに決めました‼️毎日顔色を伺って、言いたいことも飲み込んで、自分が自分じゃなくなっていく感覚が怖かった。同じように苦しんでる人、もしいたら見ててほしい。
2026/02/05,21,0,あれ、うちの旦那、モラハラかも…？って思った瞬間を教えてください‼️‼️
2026/02/06,9,0,モラハラ夫あるある。自分の箸の場所が分からない。他にもありますか？
2026/02/06,14,0,離婚準備、着々と進んでる。100日後に絶対別れる覚悟は決まってる😤
2026/02/06,21,0,"夫がいない間にポイ活とクラウドソーシングで作業。今日稼げたのは1,500円くらい。夫からしたら鼻で笑うような金額かもしれないけど、私にとってはすごく大事なお金。"
2026/02/07,9,0,旦那さんがギャンブルやってるって人へ月にいくら使ってるか把握してますか…？
2026/02/07,14,0,今日もモラハラされた💦悔しいけど、これが現実🍢でも諦めない、絶対別れる‼️
2026/02/07,21,0,「おかえりなさい、お疲れ様」って笑顔で言えた私、女優になれるかもしれない。心の中では「早く別れたい」って毒づいてるのに、表面的には良き妻を完璧にこなしてる。
2026/02/08,9,0,スーパーの帰り、夫には内緒でコンビニのコーヒーと高いチョコを買った。車の中でこっそり食べる、たった10分間の休憩。普段は数十円の節約に必死になってるけど、たまにこうやって息抜きしないと爆発しそうになる。
2026/02/08,14,0,夕飯出した瞬間、ため息つかれた。「またこれ？」って。味見もしないでソースかけられるの、地味に一番傷つく。
2026/02/08,21,0,今日、ついに録音した。夫が怒鳴り始めた瞬間、ポケットの中でボイスレコーダーのスイッチを入れた。もう泣き寝入りはしない‼️
2026/02/09,9,0,子供が寝たあと、ふと不安に押しつぶされそうになる。本当に私一人で育てていけるのかな。でも、この子が大きくなった時に「パパの顔色を伺うママ」を見せたくないって強く思った。
2026/02/09,14,0,夫に昔もらったブランドのバッグ、今日メルカリで売ってきた。査定額は2万3千円。これが私の新しい人生の軍資金になる。
2026/02/09,21,0,子供がパパの絵を描いてた。「パパだいすき」だって。それを見た瞬間、胸が張り裂けそうになった。でも、私が笑ってない家庭で育つのが本当に幸せなのかな。
2026/02/10,9,0,子供が寝たあと、スマホで賃貸サイトを見るのが日課。専業主婦の私には「要保証人」「収入証明」のハードルが高すぎる。でも絶対に抜け道はあるはず。
2026/02/10,14,0,モラハラ旦那に悩んでるけど、モラハラ妻もいるのか…性別なんて関係ないな。
2026/02/10,21,0,Threadsにはモラハラ妻が多いらしいんだけどそれを言ってるほとんどの人が男性だった
2026/02/11,9,0,急に反抗したり態度を変えたりすると警戒される。今は徹底的に「都合のいい妻」を演じて、裏で着々と足場を固める。これが私の復讐‼️
2026/02/11,14,0,怖いけど、進む。同じような状況の人、みんなどうやってメンタル保ってるんだろう。今日はちょっと弱音。
