予約投稿日時,予約投稿時間_時,予約投稿時間_分,ポスト文
2026/02/05,9,0,この世は真面目な人ほど損するの。
2026/02/05,14,0,疲れたら寝る。悩んでるなぁと思ったら寝る。考えすぎてるなと思ったら寝る。良くないものは寝て断ち切る！いっぱい寝たら幸せになれるよ！♡
2026/02/05,21,0,とにかくゆるーく生きよ。それだけで幸せになれるから。頑張っちゃだめ！
2026/02/06,9,0,引き寄せにほんとに大事なことって
2026/02/06,14,0,ゆるーく引き寄せしてたら人生がいい方向に変わってきて嬉しい☺
2026/02/06,21,0,常に機嫌悪い人って、だいたい睡眠が足りてないかお腹空いてるかのどっちかだと思う。結局は動物！
2026/02/07,9,0,ゆる〜く引き寄せ実験してたら人生イージーモードになったの✌️難しい修行とか絶対ムリ！でも、毎日5分だけ「ありがとう」って言ってたら、気づいたら良いことばかり起きてた💎
2026/02/07,14,0,頑張らなくても大丈夫。ゆる〜く、でも続けることが大事なの✨
2026/02/07,21,0,最近疲れてる人、いる？🥺大丈夫だよ💎頑張らなくても幸せになれるって私が証明するね✨
2026/02/08,9,0,自然体でいることが一番大事✌️
2026/02/08,14,0,波動、上げてる？💎実は、無理して上げなくても大丈夫なの✨
2026/02/08,21,0,難しい修行とか絶対ムリ！でも、これだけで心が軽くなったの✌️
2026/02/09,9,0,寝る前にここ見て心のデトックスしよ🛀読む精神安定剤はここ💎今日もお疲れ様✨
2026/02/09,14,0,毎日「ありがとう」って言ってたら、気づいたら良いことばかり起きてた💎
2026/02/09,21,0,頑張らなくても幸せになれる。
2026/02/10,9,0,同じようにゆる〜く引き寄せしてる人、いる？🛀
2026/02/10,14,0,無理して上げなくても大丈夫。自然に任せるだけで、潜在意識は動いてくれる✌️
2026/02/10,21,0,頑張らなくても大丈夫。ゆる〜く、でも続けることが大事なの🛀
2026/02/11,9,0,読む精神安定剤はここ✨
