予約投稿日時,予約投稿時間_時,予約投稿時間_分,ポスト文
2026/02/05,9,0,漫画がすきでたくさん読んでたら妄想力のレベルが高くなっちゃったって人いる？🥺
2026/02/05,14,0,アラサー、アラフォーのみなさん！少女漫画といえばなんの作品ですか？私はNANAかなぁ、、🎀
2026/02/05,21,0,いろんなフクギョーやってきたけど恋愛×noteが一番気楽に続けられる。大手？とかにも媚びなくていいしねん🐰🎀
2026/02/06,9,0,note頑張ってるよ〜って人、スレッズにどれくらいいますか？いいねで教えてください🎀
2026/02/06,14,0,恋愛ジャンルでマネタイズしてるよ〜って人いる？
2026/02/06,21,0,SNSでの仕事に色々手出してみたけど、最終的に恋愛ジャンルが最強ということに行き着いた‼️‼️🎀
2026/02/07,9,0,正直に言います。いつもすっぴんパジャマでゴロゴロしながら投稿作ってます🐰🎀キラキラした起業家にはなれないけど、干物ママのままでも月10万稼げるのが「恋愛×note」のいいところだよねん💖
2026/02/07,14,0,「あーまた今日も漫画ばっかり読んで…」って自分を責めてない？🥺恋愛note書いてる私からしたら、少女漫画は「最強のネタ帳」だよ‼️‼️🎀
2026/02/07,21,0,大手に絡むの、疲れませんか？💦「インフルエンサーに引用リポストしてもらおう！」みたいなノウハウ、正直しんどくない？🥺私が恋愛ジャンルに行き着いたのは、大手に媚びずに、自分の「妄想力」と「文章」だけで勝負できるから‼️‼️🎀
2026/02/08,9,0,顔出しなし、身バレなし。必要なのはスマホと妄想力だけ🤫✨
2026/02/08,14,0,恋愛×noteの世界で、私と一緒にシンデレラ目指しませんか？🎀
2026/02/08,21,0,少女漫画は最強のネタ帳だよ‼️キュンとするセリフも、切ない展開も、全部マネタイズのヒントになるよん🐰✨
2026/02/09,9,0,一人で気楽に淡々と続けられるのが一番だよねん🐰
2026/02/09,14,0,共感してくれる人いるかなぁ？🎀
2026/02/09,21,0,今年こそ変わりたい！って人はフォローして一緒に頑張ろ💖
2026/02/10,9,0,私も最初はただの妄想好きの主婦だったしね〜🐰
2026/02/10,14,0,家でゴロゴロ稼ぎたい同志、いいねでこっそり教えて？🥺
2026/02/10,21,0,恋愛ジャンルが最強だと思う理由、また話すね🎀
2026/02/11,9,0,必要なのはスマホと妄想力だけ。そんな世界で一緒に頑張りましょう💖
