予約投稿日時,予約投稿時間_時,予約投稿時間_分,ポスト文
2026/02/05,9,0,自分、恋愛依存かも…って人いる？
2026/02/05,14,0,「私ばっか好きじゃん」って思った時点で終わりだよ。それ恋じゃなくて依存。しかも相手は気づいてるから逃げる。本気で愛されるのは、自分を持ってる人。媚びない、慌てない、下がらない。
2026/02/05,21,0,結局、男が女にメロメロなカップルの方がうまく言ってる気がする。
2026/02/06,9,0,同棲始めたての友達が「俺、洗濯とか掃除とかサボるとすぐ彼女に怒られて疲れる。結婚ってこんな感じ？」って言ってきた。「うちはそんなに言わないけど」って返したら、「やっぱそういうのが理想だよな〜」って笑ってて。いや、違うのよ。私のパートナーは何年も毎日当たり前のように家事をこなして、感謝される努力をし続けたから言われないの。
2026/02/06,14,0,恋愛依存で幸せな人って見たことないな。。
2026/02/06,21,0,「別れたいけど、別れられない」って悩んでる人に言いたい。別れられない理由を全部書き出してみて。その中に「自分が幸せになるため」って理由、ある？ないなら、それは執着よ。
2026/02/07,9,0,いつも「私なんて」って思って尽くしすぎてた。でも気づいたのは、愛される人は尽くさなくても選ばれてるってこと。自分を大事にしないと、本気で大事にしてくれる人には出会えない。
2026/02/07,14,0,元カレが「やっぱり君が一番だった」って連絡してきた。「今、幸せ？」って聞いたら「うん」って答えた。じゃあ、なんで連絡してきたの？幸せなら、過去に執着しないでしょ。結局、自分が満たされてないから、過去にすがりたくなるのよ。
2026/02/07,21,0,「今度こそ変わる」って思うたびに、同じパターン繰り返してない？それ、依存のバグよ。修正しない限り、同じ結果しか出ない。
2026/02/08,9,0,「彼氏の機嫌を取るために、自分の予定を全部キャンセルした」って人、いる？それ、恋愛じゃなくて依存よ。自分を犠牲にしてる時点で、対等な関係じゃない。
2026/02/08,14,0,尽くすのと、愛されるのは別物よ。尽くしても選ばれるわけじゃない。選ばれるのは、自分を持ってる人。
2026/02/08,21,0,最初からやらない人が、都合よく「居心地のいい家庭」を手に入れられると思わない方がいいよって言っておいた。
2026/02/09,9,0,媚びない、慌てない、下がらない。そっちの方が、結果的に愛されるのよ。
2026/02/09,14,0,執着を手放せば、自由になれる。
2026/02/09,21,0,そういう人に、時間を割く必要ない。
2026/02/10,9,0,自分を大事にしないと、本気で大事にしてくれる人には出会えない。
2026/02/10,14,0,恋愛依存から抜け出す方法、フォローして発信してる。
2026/02/10,21,0,泣きたくなる恋から、そろそろ抜けよ。もう十分頑張ったじゃん。
2026/02/11,9,0,本気で愛されるのは、自分を持ってる人。
